,temperature_sensorA,acceleration_sensorA,status_sensorA,motion_sensorB,motion_sensorC,temperature_sensorC,humidity_sensorC,illuminance_sensorC,time,temperature_sensorB
460,70,inactive,closed,inactive,active,72.7,62,5,2019-10-20 1:56:22.744 PM,70.0
461,70,inactive,closed,inactive,active,72.7,62,5,2019-10-20 1:56:22.744 PM,70.0
462,70,inactive,closed,inactive,inactive,72.7,62,5,2019-10-20 1:56:38.321 PM,70.0
463,70,inactive,closed,inactive,inactive,72.7,62,5,2019-10-20 1:56:38.321 PM,70.0
464,70,inactive,closed,active,inactive,72.7,62,5,2019-10-20 1:56:38.980 PM,70.0
465,70,inactive,closed,active,inactive,72.7,62,5,2019-10-20 1:56:38.980 PM,70.0
466,70,inactive,closed,active,active,72.7,62,5,2019-10-20 1:56:39.361 PM,70.0
467,70,inactive,closed,active,active,72.7,62,5,2019-10-20 1:56:39.361 PM,70.0
468,70,inactive,closed,inactive,active,72.7,62,5,2019-10-20 1:56:54.020 PM,70.0
469,70,inactive,closed,inactive,active,72.7,62,5,2019-10-20 1:56:54.020 PM,70.0
470,70,inactive,closed,active,active,72.7,62,5,2019-10-20 1:57:01.760 PM,70.0
471,70,inactive,closed,active,active,72.7,62,5,2019-10-20 1:57:01.760 PM,70.0
472,70,inactive,closed,inactive,active,72.7,62,5,2019-10-20 1:57:19.865 PM,70.0
473,70,inactive,closed,inactive,active,72.7,62,5,2019-10-20 1:57:19.865 PM,70.0
474,70,inactive,closed,active,active,72.7,62,5,2019-10-20 1:57:31.090 PM,70.0
475,70,inactive,closed,active,active,72.7,62,5,2019-10-20 1:57:31.090 PM,70.0
476,70,inactive,closed,inactive,active,72.7,62,5,2019-10-20 1:57:45.150 PM,70.0
477,70,inactive,closed,inactive,active,72.7,62,5,2019-10-20 1:57:45.150 PM,70.0
478,70,inactive,closed,inactive,inactive,72.7,62,5,2019-10-20 1:58:01.801 PM,70.0
479,70,inactive,closed,inactive,inactive,72.7,62,5,2019-10-20 1:58:01.801 PM,70.0
480,70,inactive,closed,inactive,inactive,72.7,62,5,2019-10-20 1:58:02.091 PM,70.0
481,70,inactive,closed,inactive,inactive,72.7,62,5,2019-10-20 1:58:02.091 PM,70.0
482,70,inactive,closed,active,inactive,72.7,62,5,2019-10-20 1:58:57.395 PM,70.0
483,70,inactive,closed,active,inactive,72.7,62,5,2019-10-20 1:58:57.395 PM,70.0
484,70,inactive,closed,active,active,72.7,62,5,2019-10-20 1:58:59.371 PM,70.0
485,70,inactive,closed,active,active,72.7,62,5,2019-10-20 1:58:59.371 PM,70.0
486,70,inactive,closed,inactive,active,72.7,62,5,2019-10-20 1:59:11.656 PM,70.0
487,70,inactive,closed,inactive,active,72.7,62,5,2019-10-20 1:59:11.656 PM,70.0
488,70,inactive,closed,inactive,inactive,72.7,62,5,2019-10-20 1:59:29.681 PM,70.0
489,70,inactive,closed,inactive,inactive,72.7,62,5,2019-10-20 1:59:29.681 PM,70.0
490,70,inactive,closed,active,inactive,72.7,62,5,2019-10-20 2:00:09.495 PM,70.0
491,70,inactive,closed,active,inactive,72.7,62,5,2019-10-20 2:00:09.495 PM,70.0
492,70,inactive,closed,active,active,72.7,62,5,2019-10-20 2:00:09.931 PM,70.0
493,70,inactive,closed,active,active,72.7,62,5,2019-10-20 2:00:09.931 PM,70.0
494,70,inactive,closed,inactive,active,72.7,62,5,2019-10-20 2:00:23.655 PM,70.0
495,70,inactive,closed,inactive,active,72.7,62,5,2019-10-20 2:00:23.655 PM,70.0
496,70,inactive,closed,inactive,inactive,72.7,62,5,2019-10-20 2:00:38.821 PM,70.0
497,70,inactive,closed,inactive,inactive,72.7,62,5,2019-10-20 2:00:38.821 PM,70.0
498,70,inactive,closed,inactive,inactive,72.7,63,5,2019-10-20 2:01:22.841 PM,70.0
499,70,inactive,closed,inactive,inactive,72.7,63,5,2019-10-20 2:01:22.841 PM,70.0
500,70,inactive,closed,inactive,inactive,72.7,63,3,2019-10-20 2:01:23.751 PM,70.0
501,70,inactive,closed,inactive,inactive,72.7,63,3,2019-10-20 2:01:23.751 PM,70.0
502,70,inactive,closed,inactive,active,72.7,63,3,2019-10-20 2:02:47.111 PM,70.0
503,70,inactive,closed,inactive,active,72.7,63,3,2019-10-20 2:02:47.111 PM,70.0
504,70,inactive,closed,inactive,inactive,72.7,63,3,2019-10-20 2:03:16.141 PM,70.0
505,70,inactive,closed,inactive,inactive,72.7,63,3,2019-10-20 2:03:16.141 PM,70.0
506,70,inactive,closed,active,inactive,72.7,63,3,2019-10-20 2:03:30.815 PM,70.0
507,70,inactive,closed,active,inactive,72.7,63,3,2019-10-20 2:03:30.815 PM,70.0
508,70,inactive,closed,inactive,inactive,72.7,63,3,2019-10-20 2:03:42.265 PM,70.0
509,70,inactive,closed,inactive,inactive,72.7,63,3,2019-10-20 2:03:42.265 PM,70.0
510,70,inactive,closed,active,inactive,72.7,63,3,2019-10-20 2:06:21.176 PM,70.0
511,70,inactive,closed,active,inactive,72.7,63,3,2019-10-20 2:06:21.176 PM,70.0
512,70,inactive,closed,inactive,inactive,72.7,63,3,2019-10-20 2:06:31.786 PM,70.0
513,70,inactive,closed,inactive,inactive,72.7,63,3,2019-10-20 2:06:31.786 PM,70.0
514,70,inactive,open,inactive,inactive,72.7,63,3,2019-10-20 2:08:21.131 PM,70.0
515,70,active,open,inactive,inactive,72.7,63,3,2019-10-20 2:08:21.200 PM,70.0
516,70,active,open,active,inactive,72.7,63,3,2019-10-20 2:08:24.555 PM,70.0
517,70,active,open,active,active,72.7,63,3,2019-10-20 2:08:24.691 PM,70.0
518,70,active,open,active,active,72.7,63,3,2019-10-20 2:08:24.691 PM,70.0
519,70,active,closed,active,active,72.7,63,3,2019-10-20 2:08:24.950 PM,70.0
522,70,inactive,closed,active,active,72.7,63,3,2019-10-20 2:08:31.235 PM,70.0
523,70,inactive,closed,active,active,72.7,63,3,2019-10-20 2:08:31.235 PM,70.0
524,70,inactive,closed,inactive,active,72.7,63,3,2019-10-20 2:09:04.425 PM,70.0
525,70,inactive,closed,inactive,active,72.7,63,3,2019-10-20 2:09:04.425 PM,70.0
526,70,inactive,closed,inactive,inactive,72.7,63,3,2019-10-20 2:09:13.131 PM,70.0
527,70,inactive,closed,inactive,inactive,72.7,63,3,2019-10-20 2:09:13.131 PM,70.0
528,70,inactive,closed,inactive,inactive,72.8,63,3,2019-10-20 2:09:23.451 PM,70.0
529,70,inactive,closed,inactive,inactive,72.8,63,3,2019-10-20 2:09:23.451 PM,70.0
530,70,inactive,closed,inactive,inactive,72.8,62,3,2019-10-20 2:09:23.591 PM,70.0
531,70,inactive,closed,inactive,inactive,72.8,62,3,2019-10-20 2:09:23.591 PM,70.0
532,70,inactive,closed,active,inactive,72.8,62,3,2019-10-20 2:09:29.890 PM,70.0
533,70,inactive,closed,active,inactive,72.8,62,3,2019-10-20 2:09:29.890 PM,70.0
534,70,inactive,closed,active,active,72.8,62,3,2019-10-20 2:09:30.911 PM,70.0
535,70,inactive,closed,active,active,72.8,62,3,2019-10-20 2:09:30.911 PM,70.0
536,70,inactive,closed,inactive,active,72.8,62,3,2019-10-20 2:09:43.120 PM,70.0
537,70,inactive,closed,inactive,active,72.8,62,3,2019-10-20 2:09:43.120 PM,70.0
538,70,inactive,closed,inactive,inactive,72.8,62,3,2019-10-20 2:09:58.911 PM,70.0
539,70,inactive,closed,inactive,inactive,72.8,62,3,2019-10-20 2:09:58.911 PM,70.0
540,70,inactive,closed,active,inactive,72.8,62,3,2019-10-20 2:10:03.697 PM,70.0
541,70,inactive,closed,active,inactive,72.8,62,3,2019-10-20 2:10:03.697 PM,70.0
542,70,inactive,closed,inactive,inactive,72.8,62,3,2019-10-20 2:10:14.055 PM,70.0
543,70,inactive,closed,inactive,inactive,72.8,62,3,2019-10-20 2:10:14.055 PM,70.0
544,70,inactive,closed,active,inactive,72.8,62,3,2019-10-20 2:10:17.240 PM,70.0
545,70,inactive,closed,active,inactive,72.8,62,3,2019-10-20 2:10:17.240 PM,70.0
546,70,inactive,closed,active,active,72.8,62,3,2019-10-20 2:10:17.531 PM,70.0
547,70,inactive,closed,active,active,72.8,62,3,2019-10-20 2:10:17.531 PM,70.0
548,70,inactive,closed,inactive,active,72.8,62,3,2019-10-20 2:10:29.125 PM,70.0
549,70,inactive,closed,inactive,active,72.8,62,3,2019-10-20 2:10:29.125 PM,70.0
550,70,inactive,closed,inactive,inactive,72.8,62,3,2019-10-20 2:10:47.012 PM,70.0
551,70,inactive,closed,inactive,inactive,72.8,62,3,2019-10-20 2:10:47.012 PM,70.0
552,70,inactive,closed,active,inactive,72.8,62,3,2019-10-20 2:10:54.920 PM,70.0
553,70,inactive,closed,active,inactive,72.8,62,3,2019-10-20 2:10:54.920 PM,70.0
554,70,inactive,closed,active,active,72.8,62,3,2019-10-20 2:10:56.231 PM,70.0
555,70,inactive,closed,active,active,72.8,62,3,2019-10-20 2:10:56.231 PM,70.0
556,70,inactive,closed,inactive,active,72.8,62,3,2019-10-20 2:11:11.220 PM,70.0
557,70,inactive,closed,inactive,active,72.8,62,3,2019-10-20 2:11:11.220 PM,70.0
558,70,inactive,closed,inactive,inactive,72.8,62,3,2019-10-20 2:11:29.111 PM,70.0
559,70,inactive,closed,inactive,inactive,72.8,62,3,2019-10-20 2:11:29.111 PM,70.0
560,70,inactive,closed,inactive,active,72.8,62,3,2019-10-20 2:11:33.401 PM,70.0
561,70,inactive,closed,inactive,active,72.8,62,3,2019-10-20 2:11:33.401 PM,70.0
562,70,inactive,closed,active,active,72.8,62,3,2019-10-20 2:11:33.715 PM,70.0
563,70,inactive,closed,active,active,72.8,62,3,2019-10-20 2:11:33.715 PM,70.0
564,70,inactive,closed,inactive,active,72.8,62,3,2019-10-20 2:11:57.140 PM,70.0
565,70,inactive,closed,inactive,active,72.8,62,3,2019-10-20 2:11:57.140 PM,70.0
566,70,inactive,closed,active,active,72.8,62,3,2019-10-20 2:12:07.700 PM,70.0
567,70,inactive,closed,active,active,72.8,62,3,2019-10-20 2:12:07.700 PM,70.0
568,70,inactive,closed,active,inactive,72.8,62,3,2019-10-20 2:12:13.491 PM,70.0
569,70,inactive,closed,active,inactive,72.8,62,3,2019-10-20 2:12:13.491 PM,70.0
570,70,inactive,closed,active,inactive,72.8,62,3,2019-10-20 2:12:13.781 PM,70.0
571,70,inactive,closed,active,inactive,72.8,62,3,2019-10-20 2:12:13.781 PM,70.0
572,70,inactive,closed,inactive,inactive,72.8,62,3,2019-10-20 2:12:18.040 PM,70.0
573,70,inactive,closed,inactive,inactive,72.8,62,3,2019-10-20 2:12:18.040 PM,70.0
574,70,inactive,closed,inactive,active,72.8,62,3,2019-10-20 2:13:21.442 PM,70.0
575,70,inactive,closed,inactive,active,72.8,62,3,2019-10-20 2:13:21.442 PM,70.0
576,70,inactive,closed,inactive,inactive,72.8,62,3,2019-10-20 2:13:50.381 PM,70.0
577,70,inactive,closed,inactive,inactive,72.8,62,3,2019-10-20 2:13:50.381 PM,70.0
578,70,inactive,closed,inactive,inactive,73.0,62,3,2019-10-20 2:17:24.421 PM,70.0
579,70,inactive,closed,inactive,inactive,73.0,62,3,2019-10-20 2:17:24.421 PM,70.0
580,70,inactive,closed,inactive,inactive,73.0,63,3,2019-10-20 2:17:24.571 PM,70.0
581,70,inactive,closed,inactive,inactive,73.0,63,3,2019-10-20 2:17:24.571 PM,70.0
582,70,inactive,closed,active,inactive,73.0,63,3,2019-10-20 2:21:22.877 PM,70.0
583,70,inactive,closed,active,inactive,73.0,63,3,2019-10-20 2:21:22.877 PM,70.0
584,70,inactive,closed,inactive,inactive,73.0,63,3,2019-10-20 2:21:33.307 PM,70.0
585,70,inactive,closed,inactive,inactive,73.0,63,3,2019-10-20 2:21:33.307 PM,70.0
586,70,inactive,closed,active,inactive,73.0,63,3,2019-10-20 2:21:40.081 PM,70.0
587,70,inactive,closed,active,inactive,73.0,63,3,2019-10-20 2:21:40.081 PM,70.0
588,70,inactive,closed,inactive,inactive,73.0,63,3,2019-10-20 2:21:50.556 PM,70.0
589,70,inactive,closed,inactive,inactive,73.0,63,3,2019-10-20 2:21:50.556 PM,70.0
590,70,inactive,closed,active,inactive,73.0,63,3,2019-10-20 2:22:45.585 PM,70.0
591,70,inactive,closed,active,inactive,73.0,63,3,2019-10-20 2:22:45.585 PM,70.0
592,70,inactive,closed,inactive,inactive,73.0,63,3,2019-10-20 2:22:56.217 PM,70.0
593,70,inactive,closed,inactive,inactive,73.0,63,3,2019-10-20 2:22:56.217 PM,70.0
594,70,inactive,closed,inactive,inactive,72.9,63,3,2019-10-20 2:25:25.351 PM,70.0
595,70,inactive,closed,inactive,inactive,72.9,63,3,2019-10-20 2:25:25.351 PM,70.0
596,70,inactive,closed,inactive,inactive,72.9,62,3,2019-10-20 2:25:25.491 PM,70.0
597,70,inactive,closed,inactive,inactive,72.9,62,3,2019-10-20 2:25:25.491 PM,70.0
598,70,inactive,closed,active,inactive,72.9,62,3,2019-10-20 2:30:42.027 PM,70.0
599,70,inactive,closed,active,inactive,72.9,62,3,2019-10-20 2:30:42.027 PM,70.0
600,70,inactive,closed,active,active,72.9,62,3,2019-10-20 2:30:46.041 PM,70.0
601,70,inactive,closed,active,active,72.9,62,3,2019-10-20 2:30:46.041 PM,70.0
602,70,inactive,closed,inactive,active,72.9,62,3,2019-10-20 2:31:05.481 PM,70.0
603,70,inactive,closed,inactive,active,72.9,62,3,2019-10-20 2:31:05.481 PM,70.0
604,70,inactive,closed,inactive,inactive,72.9,62,3,2019-10-20 2:31:23.471 PM,70.0
605,70,inactive,closed,inactive,inactive,72.9,62,3,2019-10-20 2:31:23.471 PM,70.0
606,70,inactive,closed,active,inactive,72.9,62,3,2019-10-20 2:33:01.410 PM,70.0
607,70,inactive,closed,active,inactive,72.9,62,3,2019-10-20 2:33:01.410 PM,70.0
608,70,inactive,closed,active,active,72.9,62,3,2019-10-20 2:33:01.851 PM,70.0
609,70,inactive,closed,active,active,72.9,62,3,2019-10-20 2:33:01.851 PM,70.0
610,70,inactive,closed,active,active,72.9,62,3,2019-10-20 2:33:02.181 PM,70.0
611,70,inactive,closed,active,active,72.9,62,3,2019-10-20 2:33:02.181 PM,70.0
612,70,inactive,closed,inactive,active,72.9,62,3,2019-10-20 2:33:15.529 PM,70.0
613,70,inactive,closed,inactive,active,72.9,62,3,2019-10-20 2:33:15.529 PM,70.0
614,70,inactive,closed,inactive,active,72.9,63,3,2019-10-20 2:33:30.791 PM,70.0
615,70,inactive,closed,inactive,active,72.9,63,3,2019-10-20 2:33:30.791 PM,70.0
616,70,inactive,closed,inactive,inactive,72.9,63,3,2019-10-20 2:33:46.091 PM,70.0
617,70,inactive,closed,inactive,inactive,72.9,63,3,2019-10-20 2:33:46.091 PM,70.0
618,70,inactive,closed,active,inactive,72.9,63,3,2019-10-20 2:36:24.110 PM,70.0
619,70,inactive,closed,active,inactive,72.9,63,3,2019-10-20 2:36:24.110 PM,70.0
620,70,inactive,closed,active,active,72.9,63,3,2019-10-20 2:36:28.831 PM,70.0
621,70,inactive,closed,active,active,72.9,63,3,2019-10-20 2:36:28.831 PM,70.0
622,70,inactive,closed,active,active,72.9,63,3,2019-10-20 2:36:29.231 PM,70.0
623,70,inactive,closed,active,active,72.9,63,3,2019-10-20 2:36:29.231 PM,70.0
624,70,inactive,closed,inactive,active,72.9,63,3,2019-10-20 2:36:41.020 PM,70.0
625,70,inactive,closed,inactive,active,72.9,63,3,2019-10-20 2:36:41.020 PM,70.0
626,70,inactive,closed,active,active,72.9,63,3,2019-10-20 2:36:45.350 PM,70.0
627,70,inactive,closed,active,active,72.9,63,3,2019-10-20 2:36:45.350 PM,70.0
628,70,inactive,closed,inactive,active,72.9,63,3,2019-10-20 2:37:58.727 PM,70.0
629,70,inactive,closed,inactive,active,72.9,63,3,2019-10-20 2:37:58.727 PM,70.0
630,70,inactive,closed,inactive,inactive,72.9,63,3,2019-10-20 2:38:14.251 PM,70.0
631,70,inactive,closed,inactive,inactive,72.9,63,3,2019-10-20 2:38:14.251 PM,70.0
633,70,active,closed,inactive,inactive,72.9,63,3,2019-10-20 2:38:23.373 PM,70.0
634,70,active,closed,inactive,inactive,72.9,63,3,2019-10-20 2:38:23.373 PM,70.0
637,70,active,open,inactive,inactive,72.9,63,3,2019-10-20 2:38:25.511 PM,70.0
638,70,active,open,inactive,inactive,72.9,63,3,2019-10-20 2:38:25.511 PM,70.0
640,70,active,open,active,inactive,72.9,63,3,2019-10-20 2:38:25.670 PM,70.0
641,70,active,open,active,inactive,72.9,63,3,2019-10-20 2:38:25.670 PM,70.0
642,70,active,open,active,active,72.9,63,3,2019-10-20 2:38:25.692 PM,70.0
