name,time,value
threeAxis,2019-10-24 9:05:00.690 PM,"77,-8,-1027"
threeAxis,2019-10-24 9:04:59.709 PM,"-38,-60,-1035"
acceleration,2019-10-24 9:04:58.673 PM,active
threeAxis,2019-10-24 9:04:58.671 PM,"-123,-15,-1049"
contact,2019-10-24 9:04:58.569 PM,open
status,2019-10-24 9:04:58.567 PM,open
acceleration,2019-10-24 9:04:10.950 PM,inactive
threeAxis,2019-10-24 9:04:10.031 PM,"52,4,-1033"
threeAxis,2019-10-24 9:04:08.980 PM,"48,0,-1028"
threeAxis,2019-10-24 9:04:07.987 PM,"56,3,-1029"
threeAxis,2019-10-24 9:04:06.969 PM,"45,6,-1034"
contact,2019-10-24 9:04:06.344 PM,closed
status,2019-10-24 9:04:06.342 PM,closed
threeAxis,2019-10-24 9:04:05.990 PM,"132,-29,-1027"
threeAxis,2019-10-24 9:04:04.945 PM,"187,-14,-1029"
threeAxis,2019-10-24 9:04:03.950 PM,"15,-32,-1024"
threeAxis,2019-10-24 9:04:02.940 PM,"-99,7,-1009"
contact,2019-10-24 9:04:02.823 PM,open
status,2019-10-24 9:04:02.821 PM,open
threeAxis,2019-10-24 9:04:01.950 PM,"43,4,-1029"
acceleration,2019-10-24 9:04:00.930 PM,active
threeAxis,2019-10-24 9:04:00.928 PM,"-48,-154,-1024"
acceleration,2019-10-24 8:41:17.010 PM,inactive
threeAxis,2019-10-24 8:41:10.823 PM,"50,7,-1033"
threeAxis,2019-10-24 8:41:09.960 PM,"55,4,-1032"
threeAxis,2019-10-24 8:41:08.797 PM,"55,4,-1033"
threeAxis,2019-10-24 8:41:07.798 PM,"38,3,-1034"
threeAxis,2019-10-24 8:41:06.790 PM,"213,-11,-1031"
threeAxis,2019-10-24 8:41:03.989 PM,"-62,-11,-1028"
contact,2019-10-24 8:41:03.276 PM,closed
status,2019-10-24 8:41:03.271 PM,closed
threeAxis,2019-10-24 8:41:02.993 PM,"64,-26,-1028"
threeAxis,2019-10-24 8:41:01.990 PM,"75,-6,-1029"
threeAxis,2019-10-24 8:41:00.966 PM,"68,4,-1018"
threeAxis,2019-10-24 8:40:59.953 PM,"-108,-3,-1037"
threeAxis,2019-10-24 8:40:58.963 PM,"93,-12,-1030"
threeAxis,2019-10-24 8:40:57.950 PM,"143,-52,-1027"
acceleration,2019-10-24 8:40:56.943 PM,active
threeAxis,2019-10-24 8:40:56.941 PM,"-134,-47,-1037"
contact,2019-10-24 8:40:56.786 PM,open
status,2019-10-24 8:40:56.784 PM,open
contact,2019-10-24 8:40:51.112 PM,closed
status,2019-10-24 8:40:51.111 PM,closed
contact,2019-10-24 8:40:45.893 PM,open
status,2019-10-24 8:40:45.891 PM,open
temperature,2019-10-24 8:24:28.405 PM,65
acceleration,2019-10-24 7:40:48.040 PM,inactive
threeAxis,2019-10-24 7:40:42.040 PM,"51,6,-1031"
threeAxis,2019-10-24 7:40:41.036 PM,"53,2,-1029"
threeAxis,2019-10-24 7:40:40.070 PM,"54,-1,-1034"
threeAxis,2019-10-24 7:40:39.059 PM,"55,2,-1032"
acceleration,2019-10-24 7:40:38.048 PM,active
threeAxis,2019-10-24 7:40:38.009 PM,"-83,-15,-1043"
acceleration,2019-10-24 6:53:20.789 PM,inactive
threeAxis,2019-10-24 6:53:18.849 PM,"53,5,-1025"
threeAxis,2019-10-24 6:53:17.766 PM,"53,5,-1030"
threeAxis,2019-10-24 6:53:16.763 PM,"46,4,-1032"
threeAxis,2019-10-24 6:53:15.770 PM,"49,0,-1031"
threeAxis,2019-10-24 6:53:14.755 PM,"-73,12,-1032"
contact,2019-10-24 6:53:14.384 PM,closed
status,2019-10-24 6:53:14.381 PM,closed
threeAxis,2019-10-24 6:53:13.750 PM,"115,-75,-1027"
threeAxis,2019-10-24 6:53:12.736 PM,"95,-8,-1031"
threeAxis,2019-10-24 6:53:11.809 PM,"12,-68,-1035"
acceleration,2019-10-24 6:53:10.733 PM,active
threeAxis,2019-10-24 6:53:10.731 PM,"-160,-40,-1079"
contact,2019-10-24 6:53:10.630 PM,open
status,2019-10-24 6:53:10.628 PM,open
temperature,2019-10-24 6:39:06.835 PM,66
acceleration,2019-10-24 6:26:28.664 PM,inactive
threeAxis,2019-10-24 6:26:22.670 PM,"51,4,-1030"
threeAxis,2019-10-24 6:26:21.700 PM,"52,1,-1032"
threeAxis,2019-10-24 6:26:20.644 PM,"50,4,-1029"
threeAxis,2019-10-24 6:26:19.650 PM,"46,4,-1032"
acceleration,2019-10-24 6:26:18.824 PM,active
threeAxis,2019-10-24 6:26:18.820 PM,"-110,24,-1032"
acceleration,2019-10-24 6:04:57.117 PM,inactive
threeAxis,2019-10-24 6:04:54.130 PM,"49,3,-1034"
threeAxis,2019-10-24 6:04:53.163 PM,"55,4,-1028"
threeAxis,2019-10-24 6:04:52.114 PM,"52,2,-1026"
threeAxis,2019-10-24 6:04:51.110 PM,"42,8,-1037"
contact,2019-10-24 6:04:50.712 PM,closed
status,2019-10-24 6:04:50.710 PM,closed
threeAxis,2019-10-24 6:04:50.109 PM,"119,-39,-1028"
threeAxis,2019-10-24 6:04:49.100 PM,"91,-24,-1032"
threeAxis,2019-10-24 6:04:48.104 PM,"-78,-5,-1025"
contact,2019-10-24 6:04:47.208 PM,open
status,2019-10-24 6:04:47.206 PM,open
acceleration,2019-10-24 6:04:47.082 PM,active
threeAxis,2019-10-24 6:04:47.080 PM,"-95,0,-1027"
acceleration,2019-10-24 6:04:32.297 PM,inactive
threeAxis,2019-10-24 6:04:29.315 PM,"48,1,-1032"
threeAxis,2019-10-24 6:04:28.307 PM,"50,3,-1030"
threeAxis,2019-10-24 6:04:27.300 PM,"52,2,-1031"
threeAxis,2019-10-24 6:04:26.310 PM,"48,7,-1030"
threeAxis,2019-10-24 6:04:25.286 PM,"-45,-4,-1034"
contact,2019-10-24 6:04:24.880 PM,closed
status,2019-10-24 6:04:24.876 PM,closed
threeAxis,2019-10-24 6:04:24.286 PM,"59,-48,-1033"
threeAxis,2019-10-24 6:04:23.310 PM,"66,-117,-1032"
acceleration,2019-10-24 6:04:22.273 PM,active
threeAxis,2019-10-24 6:04:22.271 PM,"-249,6,-1007"
contact,2019-10-24 6:04:22.158 PM,open
status,2019-10-24 6:04:22.156 PM,open
acceleration,2019-10-24 5:58:20.180 PM,inactive
threeAxis,2019-10-24 5:58:17.200 PM,"56,1,-1032"
threeAxis,2019-10-24 5:58:16.190 PM,"50,2,-1034"
threeAxis,2019-10-24 5:58:15.204 PM,"50,-2,-1032"
threeAxis,2019-10-24 5:58:14.176 PM,"46,1,-1034"
contact,2019-10-24 5:58:13.325 PM,closed
status,2019-10-24 5:58:13.321 PM,closed
threeAxis,2019-10-24 5:58:13.170 PM,"0,-44,-1033"
threeAxis,2019-10-24 5:58:12.160 PM,"175,-18,-1030"
threeAxis,2019-10-24 5:58:11.166 PM,"-48,-56,-1034"
contact,2019-10-24 5:58:10.177 PM,open
status,2019-10-24 5:58:10.175 PM,open
acceleration,2019-10-24 5:58:10.153 PM,active
threeAxis,2019-10-24 5:58:10.151 PM,"-84,-11,-1048"
acceleration,2019-10-24 5:57:49.690 PM,inactive
threeAxis,2019-10-24 5:57:44.297 PM,"52,6,-1029"
threeAxis,2019-10-24 5:57:43.290 PM,"47,0,-1035"
threeAxis,2019-10-24 5:57:42.280 PM,"99,-90,-1028"
contact,2019-10-24 5:57:42.149 PM,closed
status,2019-10-24 5:57:42.145 PM,closed
threeAxis,2019-10-24 5:57:41.270 PM,"96,2,-1034"
threeAxis,2019-10-24 5:57:40.297 PM,"333,-24,-1023"
acceleration,2019-10-24 5:57:39.265 PM,active
threeAxis,2019-10-24 5:57:39.263 PM,"-186,4,-1024"
contact,2019-10-24 5:57:39.228 PM,open
status,2019-10-24 5:57:39.226 PM,open
acceleration,2019-10-24 5:57:13.200 PM,inactive
threeAxis,2019-10-24 5:57:04.718 PM,"53,7,-1028"
threeAxis,2019-10-24 5:57:03.706 PM,"56,5,-1029"
threeAxis,2019-10-24 5:57:02.713 PM,"45,5,-1032"
threeAxis,2019-10-24 5:57:01.804 PM,"49,6,-1026"
threeAxis,2019-10-24 5:57:00.690 PM,"9,-4,-1027"
contact,2019-10-24 5:57:00.445 PM,closed
status,2019-10-24 5:57:00.437 PM,closed
threeAxis,2019-10-24 5:56:59.689 PM,"71,-16,-1027"
threeAxis,2019-10-24 5:56:58.681 PM,"78,6,-1029"
threeAxis,2019-10-24 5:56:57.687 PM,"68,-5,-1036"
threeAxis,2019-10-24 5:56:56.668 PM,"72,4,-1030"
threeAxis,2019-10-24 5:56:55.651 PM,"50,6,-1032"
threeAxis,2019-10-24 5:56:54.665 PM,"78,1,-1027"
threeAxis,2019-10-24 5:56:53.640 PM,"21,6,-1028"
threeAxis,2019-10-24 5:56:52.654 PM,"-81,2,-1037"
threeAxis,2019-10-24 5:56:51.638 PM,"34,-55,-1031"
threeAxis,2019-10-24 5:56:50.627 PM,"37,-53,-1027"
threeAxis,2019-10-24 5:56:49.619 PM,"-107,-39,-1040"
contact,2019-10-24 5:56:49.467 PM,open
status,2019-10-24 5:56:49.465 PM,open
threeAxis,2019-10-24 5:56:46.965 PM,"52,7,-1031"
threeAxis,2019-10-24 5:56:45.950 PM,"47,6,-1034"
threeAxis,2019-10-24 5:56:44.954 PM,"54,2,-1029"
threeAxis,2019-10-24 5:56:43.937 PM,"52,6,-1031"
acceleration,2019-10-24 5:56:42.928 PM,active
threeAxis,2019-10-24 5:56:42.925 PM,"-956,270,-1019"
acceleration,2019-10-24 5:53:46.200 PM,inactive
contact,2019-10-24 5:53:41.227 PM,closed
status,2019-10-24 5:53:41.225 PM,closed
threeAxis,2019-10-24 5:53:40.218 PM,"76,-5,-1029"
threeAxis,2019-10-24 5:53:39.190 PM,"89,4,-1026"
threeAxis,2019-10-24 5:53:38.214 PM,"115,-14,-1030"
threeAxis,2019-10-24 5:53:37.203 PM,"18,-25,-1029"
acceleration,2019-10-24 5:53:36.181 PM,active
threeAxis,2019-10-24 5:53:36.177 PM,"-117,11,-1047"
contact,2019-10-24 5:53:36.032 PM,open
status,2019-10-24 5:53:36.030 PM,open
acceleration,2019-10-24 5:47:13.355 PM,inactive
threeAxis,2019-10-24 5:47:07.349 PM,"54,4,-1033"
threeAxis,2019-10-24 5:47:06.340 PM,"49,4,-1033"
threeAxis,2019-10-24 5:47:05.340 PM,"48,2,-1034"
threeAxis,2019-10-24 5:47:04.337 PM,"70,2,-1031"
contact,2019-10-24 5:47:03.640 PM,closed
status,2019-10-24 5:47:03.637 PM,closed
acceleration,2019-10-24 5:47:03.341 PM,active
threeAxis,2019-10-24 5:47:03.331 PM,"-153,-35,-997"
contact,2019-10-24 5:46:57.842 PM,open
status,2019-10-24 5:46:57.840 PM,open
acceleration,2019-10-24 5:41:58.880 PM,inactive
threeAxis,2019-10-24 5:41:56.905 PM,"53,2,-1033"
threeAxis,2019-10-24 5:41:55.910 PM,"54,7,-1032"
threeAxis,2019-10-24 5:41:54.936 PM,"51,0,-1030"
threeAxis,2019-10-24 5:41:53.885 PM,"44,5,-1029"
threeAxis,2019-10-24 5:41:52.877 PM,"-33,10,-1058"
contact,2019-10-24 5:41:52.775 PM,closed
status,2019-10-24 5:41:52.771 PM,closed
threeAxis,2019-10-24 5:41:51.880 PM,"225,-13,-1027"
threeAxis,2019-10-24 5:41:50.870 PM,"128,-12,-1027"
threeAxis,2019-10-24 5:41:49.868 PM,"177,-35,-1027"
contact,2019-10-24 5:41:49.288 PM,open
status,2019-10-24 5:41:49.286 PM,open
acceleration,2019-10-24 5:41:48.867 PM,active
threeAxis,2019-10-24 5:41:48.861 PM,"-118,-3,-1037"
acceleration,2019-10-24 5:34:19.950 PM,inactive
contact,2019-10-24 5:34:14.608 PM,closed
status,2019-10-24 5:34:14.606 PM,closed
threeAxis,2019-10-24 5:34:14.008 PM,"63,-12,-1034"
threeAxis,2019-10-24 5:34:12.945 PM,"75,1,-1031"
threeAxis,2019-10-24 5:34:11.928 PM,"141,-10,-1032"
threeAxis,2019-10-24 5:34:10.926 PM,"2,-33,-1025"
acceleration,2019-10-24 5:34:09.923 PM,active
threeAxis,2019-10-24 5:34:09.920 PM,"-90,-24,-1066"
contact,2019-10-24 5:34:09.803 PM,open
status,2019-10-24 5:34:09.801 PM,open
acceleration,2019-10-24 5:14:12.937 PM,inactive
threeAxis,2019-10-24 5:14:09.900 PM,"52,4,-1031"
threeAxis,2019-10-24 5:14:08.910 PM,"51,1,-1031"
threeAxis,2019-10-24 5:14:07.900 PM,"49,6,-1033"
threeAxis,2019-10-24 5:14:06.894 PM,"61,2,-1033"
contact,2019-10-24 5:14:06.375 PM,closed
status,2019-10-24 5:14:06.371 PM,closed
threeAxis,2019-10-24 5:14:05.880 PM,"123,-38,-1029"
threeAxis,2019-10-24 5:14:04.870 PM,"107,-13,-1029"
threeAxis,2019-10-24 5:14:03.870 PM,"59,-66,-1031"
acceleration,2019-10-24 5:14:02.863 PM,active
threeAxis,2019-10-24 5:14:02.861 PM,"-189,4,-1018"
contact,2019-10-24 5:14:02.765 PM,open
status,2019-10-24 5:14:02.761 PM,open
acceleration,2019-10-24 5:12:15.479 PM,inactive
threeAxis,2019-10-24 5:12:14.491 PM,"54,6,-1033"
threeAxis,2019-10-24 5:12:13.520 PM,"52,5,-1032"
threeAxis,2019-10-24 5:12:12.515 PM,"54,6,-1033"
threeAxis,2019-10-24 5:12:11.480 PM,"55,-4,-1032"
contact,2019-10-24 5:12:10.510 PM,closed
status,2019-10-24 5:12:10.508 PM,closed
threeAxis,2019-10-24 5:12:10.470 PM,"69,68,-1085"
threeAxis,2019-10-24 5:12:09.453 PM,"142,-60,-1025"
threeAxis,2019-10-24 5:12:08.485 PM,"69,-39,-1034"
threeAxis,2019-10-24 5:12:07.448 PM,"43,-23,-1026"
threeAxis,2019-10-24 5:12:06.447 PM,"118,-5,-1035"
contact,2019-10-24 5:12:05.475 PM,open
status,2019-10-24 5:12:05.473 PM,open
acceleration,2019-10-24 5:12:05.434 PM,active
threeAxis,2019-10-24 5:12:05.429 PM,"-186,5,-1025"
acceleration,2019-10-24 5:06:45.110 PM,inactive
threeAxis,2019-10-24 5:06:42.138 PM,"52,3,-1033"
threeAxis,2019-10-24 5:06:41.128 PM,"54,3,-1033"
threeAxis,2019-10-24 5:06:40.120 PM,"51,2,-1031"
threeAxis,2019-10-24 5:06:39.148 PM,"50,7,-1028"
threeAxis,2019-10-24 5:06:38.108 PM,"-9,117,-1013"
threeAxis,2019-10-24 5:06:37.108 PM,"-49,-23,-1067"
contact,2019-10-24 5:06:37.085 PM,closed
status,2019-10-24 5:06:37.080 PM,closed
threeAxis,2019-10-24 5:06:36.091 PM,"81,-16,-1026"
acceleration,2019-10-24 5:06:35.088 PM,active
threeAxis,2019-10-24 5:06:35.083 PM,"221,7,-1029"
contact,2019-10-24 5:06:32.997 PM,open
status,2019-10-24 5:06:32.995 PM,open
acceleration,2019-10-24 5:02:34.890 PM,inactive
threeAxis,2019-10-24 5:02:30.905 PM,"53,6,-1030"
threeAxis,2019-10-24 5:02:29.901 PM,"51,6,-1033"
threeAxis,2019-10-24 5:02:28.929 PM,"53,5,-1031"
threeAxis,2019-10-24 5:02:27.881 PM,"53,4,-1032"
threeAxis,2019-10-24 5:02:26.890 PM,"194,16,-1025"
contact,2019-10-24 5:02:26.480 PM,closed
status,2019-10-24 5:02:26.478 PM,closed
threeAxis,2019-10-24 5:02:25.870 PM,"60,-26,-1032"
acceleration,2019-10-24 5:02:24.868 PM,active
threeAxis,2019-10-24 5:02:24.866 PM,"225,3,-1031"
contact,2019-10-24 5:02:22.810 PM,open
status,2019-10-24 5:02:22.808 PM,open
acceleration,2019-10-24 4:59:07.680 PM,inactive
threeAxis,2019-10-24 4:59:05.747 PM,"54,3,-1031"
threeAxis,2019-10-24 4:59:04.706 PM,"46,5,-1034"
threeAxis,2019-10-24 4:59:03.700 PM,"53,3,-1033"
threeAxis,2019-10-24 4:59:02.748 PM,"55,3,-1029"
contact,2019-10-24 4:59:01.958 PM,closed
status,2019-10-24 4:59:01.956 PM,closed
threeAxis,2019-10-24 4:59:01.690 PM,"69,-22,-1036"
threeAxis,2019-10-24 4:59:00.670 PM,"78,-5,-1031"
threeAxis,2019-10-24 4:58:59.667 PM,"202,9,-1029"
threeAxis,2019-10-24 4:58:58.670 PM,"26,-31,-1019"
acceleration,2019-10-24 4:58:58.123 PM,active
threeAxis,2019-10-24 4:58:58.121 PM,"-180,-51,-1058"
contact,2019-10-24 4:58:57.708 PM,open
status,2019-10-24 4:58:57.704 PM,open
acceleration,2019-10-24 3:19:11.926 PM,inactive
threeAxis,2019-10-24 3:19:08.940 PM,"53,-3,-1031"
threeAxis,2019-10-24 3:19:08.450 PM,"54,8,-1031"
threeAxis,2019-10-24 3:19:06.930 PM,"48,4,-1034"
threeAxis,2019-10-24 3:19:05.927 PM,"-49,60,-1054"
contact,2019-10-24 3:19:05.193 PM,closed
status,2019-10-24 3:19:05.191 PM,closed
threeAxis,2019-10-24 3:19:04.910 PM,"-26,-15,-1028"
threeAxis,2019-10-24 3:19:03.910 PM,"85,-43,-1033"
threeAxis,2019-10-24 3:19:02.906 PM,"-43,-57,-1035"
acceleration,2019-10-24 3:19:01.900 PM,active
threeAxis,2019-10-24 3:19:01.898 PM,"-88,-14,-1027"
contact,2019-10-24 3:19:01.625 PM,open
status,2019-10-24 3:19:01.621 PM,open
acceleration,2019-10-24 3:09:59.480 PM,inactive
threeAxis,2019-10-24 3:09:53.473 PM,"51,1,-1028"
threeAxis,2019-10-24 3:09:52.469 PM,"59,0,-1034"
threeAxis,2019-10-24 3:09:51.467 PM,"53,4,-1032"
threeAxis,2019-10-24 3:09:50.459 PM,"51,3,-1035"
acceleration,2019-10-24 3:09:49.459 PM,active
threeAxis,2019-10-24 3:09:49.457 PM,"-300,20,-999"
contact,2019-10-24 3:09:49.318 PM,closed
status,2019-10-24 3:09:49.316 PM,closed
