,temperature_sensorA,acceleration_sensorA,status_sensorA,motion_sensorB,motion_sensorC,temperature_sensorC,humidity_sensorC,illuminance_sensorC,time,temperature_sensorB,simulated_temperature
373,70,active,open,active,inactive,70,62,4,01:44.7,70,70
374,70,active,closed,active,inactive,70,62,4,01:44.8,70,70
375,70,active,closed,active,active,70,62,4,01:50.1,70,70
376,70,active,closed,active,active,70,62,4,01:50.1,70,70
377,70,inactive,closed,active,active,70,62,4,01:53.3,70,70
378,70,inactive,open,active,active,70,62,4,02:51.7,70,70
379,70,active,open,active,active,70,62,4,02:51.7,70,70
380,70,active,closed,active,active,70,62,4,02:57.0,70,70
381,70,inactive,closed,active,active,70,62,4,03:01.8,70,70
382,70,inactive,open,active,active,70,62,4,03:38.0,70,70
383,70,active,open,active,active,70,62,4,03:38.2,70,70
384,70,inactive,open,active,active,70,62,4,03:48.2,70,70
385,70,active,open,active,active,70,62,4,04:07.2,70,70
386,70,active,closed,active,active,70,62,4,04:09.1,70,70
387,70,active,closed,inactive,active,70,62,4,04:16.1,70,70
388,70,active,closed,inactive,active,70,62,4,04:16.1,70,70
389,70,inactive,closed,inactive,active,70,62,4,04:17.2,70,70
390,70,inactive,closed,inactive,inactive,70,62,4,04:35.5,70,70
391,70,inactive,closed,inactive,inactive,70,62,4,04:35.5,70,70
392,70,inactive,closed,inactive,inactive,71.7,62,4,05:15.9,70,70
393,70,inactive,closed,inactive,inactive,71.7,62,4,05:15.9,70,70
394,70,inactive,closed,inactive,inactive,71.7,61,4,05:20.4,70,70
395,70,inactive,closed,inactive,inactive,71.7,61,4,05:20.4,70,70
396,70,inactive,closed,inactive,inactive,71.7,61,5,05:25.5,70,70
397,70,inactive,closed,inactive,inactive,71.7,61,5,05:25.5,70,70
398,70,inactive,closed,active,inactive,71.7,61,5,08:23.4,70,70
399,70,inactive,closed,active,inactive,71.7,61,5,08:23.4,70,70
400,70,inactive,closed,active,active,71.7,61,5,08:26.0,70,70
401,70,inactive,closed,active,active,71.7,61,5,08:26.0,70,70
402,70,inactive,closed,inactive,active,71.7,61,5,08:46.0,70,70
403,70,inactive,closed,inactive,active,71.7,61,5,08:46.0,70,70
404,70,inactive,closed,inactive,inactive,71.7,61,5,09:02.7,70,70
405,70,inactive,closed,inactive,inactive,71.7,61,5,09:02.7,70,70
406,70,inactive,closed,inactive,inactive,72.2,61,5,13:17.0,70,70
407,70,inactive,closed,inactive,inactive,72.2,61,5,13:17.0,70,70
408,70,inactive,closed,inactive,inactive,72.2,63,5,13:17.3,70,70
409,70,inactive,closed,inactive,inactive,72.2,63,5,13:17.3,70,70
410,70,inactive,closed,inactive,inactive,72.2,63,4,13:18.2,70,70
411,70,inactive,closed,inactive,inactive,72.2,63,4,13:18.2,70,70
412,70,inactive,closed,inactive,inactive,72.5,63,4,21:17.8,70,70
413,70,inactive,closed,inactive,inactive,72.5,63,4,21:17.8,70,70
414,70,inactive,closed,inactive,inactive,72.5,62,4,21:22.3,70,70
415,70,inactive,closed,inactive,inactive,72.5,62,4,21:22.3,70,70
416,70,inactive,closed,inactive,inactive,72.5,62,5,21:27.5,70,70
417,70,inactive,closed,inactive,inactive,72.5,62,5,21:27.5,70,70
418,70,inactive,closed,inactive,inactive,72.6,62,5,29:18.7,70,70
419,70,inactive,closed,inactive,inactive,72.6,62,5,29:18.7,70,70
420,70,inactive,closed,inactive,inactive,72.6,62,4,29:28.4,70,70
421,70,inactive,closed,inactive,inactive,72.6,62,4,29:28.4,70,70
422,70,inactive,closed,inactive,inactive,72.7,62,4,37:19.7,70,70
423,70,inactive,closed,inactive,inactive,72.7,62,4,37:19.7,70,70
424,70,inactive,closed,inactive,inactive,72.7,62,5,37:25.1,70,70
425,70,inactive,closed,inactive,inactive,72.7,62,5,37:25.1,70,70
426,70,inactive,closed,inactive,inactive,72.7,62,4,45:30.4,70,70
427,70,inactive,closed,inactive,inactive,72.7,62,4,45:30.4,70,70
428,70,inactive,closed,inactive,inactive,72.7,62,5,53:31.2,70,70
429,70,inactive,closed,inactive,inactive,72.7,62,5,53:31.2,70,70
430,70,inactive,open,inactive,inactive,72.7,62,5,54:04.5,70,70
431,70,inactive,open,inactive,active,72.7,62,5,54:07.6,70,70
432,70,inactive,open,inactive,active,72.7,62,5,54:07.6,70,70
433,70,active,open,inactive,active,72.7,62,5,54:09.3,70,70
434,70,active,open,active,active,72.7,62,5,54:09.4,70,70
435,70,active,open,active,active,72.7,62,5,54:09.4,70,70
436,70,active,closed,active,active,72.7,62,5,54:09.6,70,70
437,70,inactive,closed,active,active,72.7,62,5,54:19.3,70,70
438,70,inactive,closed,inactive,active,72.7,62,5,54:40.2,70,70
439,70,inactive,closed,inactive,active,72.7,62,5,54:40.2,70,70
440,70,inactive,closed,inactive,inactive,72.7,62,5,54:58.1,70,70
441,70,inactive,closed,inactive,inactive,72.7,62,5,54:58.1,70,70
442,70,inactive,closed,active,inactive,72.7,62,5,55:01.5,70,70
443,70,inactive,closed,active,inactive,72.7,62,5,55:01.5,70,70
444,70,inactive,closed,active,active,72.7,62,5,55:03.9,70,70
445,70,inactive,closed,active,active,72.7,62,5,55:03.9,70,70
446,70,inactive,closed,active,active,72.7,62,5,55:04.2,70,70
447,70,inactive,closed,active,active,72.7,62,5,55:04.2,70,70
448,70,inactive,open,active,active,72.7,62,5,55:29.5,70,70
449,70,active,open,active,active,72.7,62,5,55:29.7,70,70
450,70,active,closed,active,active,72.7,62,5,55:33.0,70,70
451,70,inactive,closed,active,active,72.7,62,5,55:39.7,70,70
452,70,inactive,closed,inactive,active,72.7,62,5,55:43.9,70,70
453,70,inactive,closed,inactive,active,72.7,62,5,55:43.9,70,70
454,70,inactive,closed,inactive,inactive,72.7,62,5,55:54.2,70,70
455,70,inactive,closed,inactive,inactive,72.7,62,5,55:54.2,70,70
456,70,inactive,closed,active,inactive,72.7,62,5,56:06.1,70,70
457,70,inactive,closed,active,inactive,72.7,62,5,56:06.1,70,70
458,70,inactive,closed,active,active,72.7,62,5,56:09.3,70,70
459,70,inactive,closed,active,active,72.7,62,5,56:09.3,70,70
460,70,inactive,closed,inactive,active,72.7,62,5,56:22.7,70,70
461,70,inactive,closed,inactive,active,72.7,62,5,56:22.7,70,70
462,70,inactive,closed,inactive,inactive,72.7,62,5,56:38.3,70,70
463,70,inactive,closed,inactive,inactive,72.7,62,5,56:38.3,70,70
464,70,inactive,closed,active,inactive,72.7,62,5,56:39.0,70,70
465,70,inactive,closed,active,inactive,72.7,62,5,56:39.0,70,70
466,70,inactive,closed,active,active,72.7,62,5,56:39.4,70,70
467,70,inactive,closed,active,active,72.7,62,5,56:39.4,70,70
468,70,inactive,closed,inactive,active,72.7,62,5,56:54.0,70,70
469,70,inactive,closed,inactive,active,72.7,62,5,56:54.0,70,70
470,70,inactive,closed,active,active,72.7,62,5,57:01.8,70,70
471,70,inactive,closed,active,active,72.7,62,5,57:01.8,70,70
472,70,inactive,closed,inactive,active,72.7,62,5,57:19.9,70,70
473,70,inactive,closed,inactive,active,72.7,62,5,57:19.9,70,70
474,70,inactive,closed,active,active,72.7,62,5,57:31.1,70,70
475,70,inactive,closed,active,active,72.7,62,5,57:31.1,70,70
476,70,inactive,closed,inactive,active,72.7,62,5,57:45.1,70,70
477,70,inactive,closed,inactive,active,72.7,62,5,57:45.1,70,70
478,70,inactive,closed,inactive,inactive,72.7,62,5,58:01.8,70,70
479,70,inactive,closed,inactive,inactive,72.7,62,5,58:01.8,70,70
480,70,inactive,closed,inactive,inactive,72.7,62,5,58:02.1,70,70
481,70,inactive,closed,inactive,inactive,72.7,62,5,58:02.1,70,70
482,70,inactive,closed,active,inactive,72.7,62,5,58:57.4,70,70
483,70,inactive,closed,active,inactive,72.7,62,5,58:57.4,70,70
484,70,inactive,closed,active,active,72.7,62,5,58:59.4,70,70
485,70,inactive,closed,active,active,72.7,62,5,58:59.4,70,70
486,70,inactive,closed,inactive,active,72.7,62,5,59:11.7,70,70
487,70,inactive,closed,inactive,active,72.7,62,5,59:11.7,70,70
488,70,inactive,closed,inactive,inactive,72.7,62,5,59:29.7,70,70
489,70,inactive,closed,inactive,inactive,72.7,62,5,59:29.7,70,70
490,70,inactive,closed,active,inactive,72.7,62,5,00:09.5,70,70
491,70,inactive,closed,active,inactive,72.7,62,5,00:09.5,70,70
492,70,inactive,closed,active,active,72.7,62,5,00:09.9,70,70
493,70,inactive,closed,active,active,72.7,62,5,00:09.9,70,70
494,70,inactive,closed,inactive,active,72.7,62,5,00:23.7,70,70
495,70,inactive,closed,inactive,active,72.7,62,5,00:23.7,70,70
496,70,inactive,closed,inactive,inactive,72.7,62,5,00:38.8,70,70
497,70,inactive,closed,inactive,inactive,72.7,62,5,00:38.8,70,70
498,70,inactive,closed,inactive,inactive,72.7,63,5,01:22.8,70,70
499,70,inactive,closed,inactive,inactive,72.7,63,5,01:22.8,70,70
500,70,inactive,closed,inactive,inactive,72.7,63,3,01:23.8,70,70
501,70,inactive,closed,inactive,inactive,72.7,63,3,01:23.8,70,70
502,70,inactive,closed,inactive,active,72.7,63,3,02:47.1,70,70
503,70,inactive,closed,inactive,active,72.7,63,3,02:47.1,70,70
504,70,inactive,closed,inactive,inactive,72.7,63,3,03:16.1,70,70
505,70,inactive,closed,inactive,inactive,72.7,63,3,03:16.1,70,70
506,70,inactive,closed,active,inactive,72.7,63,3,03:30.8,70,70
507,70,inactive,closed,active,inactive,72.7,63,3,03:30.8,70,70
508,70,inactive,closed,inactive,inactive,72.7,63,3,03:42.3,70,70
509,70,inactive,closed,inactive,inactive,72.7,63,3,03:42.3,70,70
510,70,inactive,closed,active,inactive,72.7,63,3,06:21.2,70,70
511,70,inactive,closed,active,inactive,72.7,63,3,06:21.2,70,70
512,70,inactive,closed,inactive,inactive,72.7,63,3,06:31.8,70,70
513,70,inactive,closed,inactive,inactive,72.7,63,3,06:31.8,70,70
514,70,inactive,open,inactive,inactive,72.7,63,3,08:21.1,70,70
515,70,active,open,inactive,inactive,72.7,63,3,08:21.2,70,70
516,70,active,open,active,inactive,72.7,63,3,08:24.6,70,70
517,70,active,open,active,active,72.7,63,3,08:24.7,70,70
518,70,active,open,active,active,72.7,63,3,08:24.7,70,70
519,70,active,closed,active,active,72.7,63,3,08:24.9,70,70
522,70,inactive,closed,active,active,72.7,63,3,08:31.2,70,70
523,70,inactive,closed,active,active,72.7,63,3,08:31.2,70,70
524,70,inactive,closed,inactive,active,72.7,63,3,09:04.4,70,70
525,70,inactive,closed,inactive,active,72.7,63,3,09:04.4,70,70
526,70,inactive,closed,inactive,inactive,72.7,63,3,09:13.1,70,70
527,70,inactive,closed,inactive,inactive,72.7,63,3,09:13.1,70,70
528,70,inactive,closed,inactive,inactive,72.8,63,3,09:23.5,70,70
529,70,inactive,closed,inactive,inactive,72.8,63,3,09:23.5,70,70
530,70,inactive,closed,inactive,inactive,72.8,62,3,09:23.6,70,70
531,70,inactive,closed,inactive,inactive,72.8,62,3,09:23.6,70,70
532,70,inactive,closed,active,inactive,72.8,62,3,09:29.9,70,70
533,70,inactive,closed,active,inactive,72.8,62,3,09:29.9,70,70
534,70,inactive,closed,active,active,72.8,62,3,09:30.9,70,70
535,70,inactive,closed,active,active,72.8,62,3,09:30.9,70,70
536,70,inactive,closed,inactive,active,72.8,62,3,09:43.1,70,70
537,70,inactive,closed,inactive,active,72.8,62,3,09:43.1,70,70
538,70,inactive,closed,inactive,inactive,72.8,62,3,09:58.9,70,70
539,70,inactive,closed,inactive,inactive,72.8,62,3,09:58.9,70,70
540,70,inactive,closed,active,inactive,72.8,62,3,10:03.7,70,70
541,70,inactive,closed,active,inactive,72.8,62,3,10:03.7,70,70
542,70,inactive,closed,inactive,inactive,72.8,62,3,10:14.1,70,70
543,70,inactive,closed,inactive,inactive,72.8,62,3,10:14.1,70,70
544,70,inactive,closed,active,inactive,72.8,62,3,10:17.2,70,70
545,70,inactive,closed,active,inactive,72.8,62,3,10:17.2,70,70
546,70,inactive,closed,active,active,72.8,62,3,10:17.5,70,70
547,70,inactive,closed,active,active,72.8,62,3,10:17.5,70,70
548,70,inactive,closed,inactive,active,72.8,62,3,10:29.1,70,70
549,70,inactive,closed,inactive,active,72.8,62,3,10:29.1,70,70
550,70,inactive,closed,inactive,inactive,72.8,62,3,10:47.0,70,70
551,70,inactive,closed,inactive,inactive,72.8,62,3,10:47.0,70,70
552,70,inactive,closed,active,inactive,72.8,62,3,10:54.9,70,70
553,70,inactive,closed,active,inactive,72.8,62,3,10:54.9,70,70
554,70,inactive,closed,active,active,72.8,62,3,10:56.2,70,70
555,70,inactive,closed,active,active,72.8,62,3,10:56.2,70,70
556,70,inactive,closed,inactive,active,72.8,62,3,11:11.2,70,70
557,70,inactive,closed,inactive,active,72.8,62,3,11:11.2,70,70
558,70,inactive,closed,inactive,inactive,72.8,62,3,11:29.1,70,70
559,70,inactive,closed,inactive,inactive,72.8,62,3,11:29.1,70,70
560,70,inactive,closed,inactive,active,72.8,62,3,11:33.4,70,70
561,70,inactive,closed,inactive,active,72.8,62,3,11:33.4,70,70
562,70,inactive,closed,active,active,72.8,62,3,11:33.7,70,70
563,70,inactive,closed,active,active,72.8,62,3,11:33.7,70,70
564,70,inactive,closed,inactive,active,72.8,62,3,11:57.1,70,70
565,70,inactive,closed,inactive,active,72.8,62,3,11:57.1,70,70
566,70,inactive,closed,active,active,72.8,62,3,12:07.7,70,70
567,70,inactive,closed,active,active,72.8,62,3,12:07.7,70,70
568,70,inactive,closed,active,inactive,72.8,62,3,12:13.5,70,70
569,70,inactive,closed,active,inactive,72.8,62,3,12:13.5,70,70
570,70,inactive,closed,active,inactive,72.8,62,3,12:13.8,70,70
571,70,inactive,closed,active,inactive,72.8,62,3,12:13.8,70,70
572,70,inactive,closed,inactive,inactive,72.8,62,3,12:18.0,70,70
573,70,inactive,closed,inactive,inactive,72.8,62,3,12:18.0,70,70
574,70,inactive,closed,inactive,active,72.8,62,3,13:21.4,70,70
575,70,inactive,closed,inactive,active,72.8,62,3,13:21.4,70,70
576,70,inactive,closed,inactive,inactive,72.8,62,3,13:50.4,70,70
577,70,inactive,closed,inactive,inactive,72.8,62,3,13:50.4,70,70
578,70,inactive,closed,inactive,inactive,73,62,3,17:24.4,70,70
579,70,inactive,closed,inactive,inactive,73,62,3,17:24.4,70,70
580,70,inactive,closed,inactive,inactive,73,63,3,17:24.6,70,70
581,70,inactive,closed,inactive,inactive,73,63,3,17:24.6,70,70
582,70,inactive,closed,active,inactive,73,63,3,21:22.9,70,70
583,70,inactive,closed,active,inactive,73,63,3,21:22.9,70,70
584,70,inactive,closed,inactive,inactive,73,63,3,21:33.3,70,70
585,70,inactive,closed,inactive,inactive,73,63,3,21:33.3,70,70
586,70,inactive,closed,active,inactive,73,63,3,21:40.1,70,70
587,70,inactive,closed,active,inactive,73,63,3,21:40.1,70,70
588,70,inactive,closed,inactive,inactive,73,63,3,21:50.6,70,70
589,70,inactive,closed,inactive,inactive,73,63,3,21:50.6,70,70
590,70,inactive,closed,active,inactive,73,63,3,22:45.6,70,70
591,70,inactive,closed,active,inactive,73,63,3,22:45.6,70,70
592,70,inactive,closed,inactive,inactive,73,63,3,22:56.2,70,70
593,70,inactive,closed,inactive,inactive,73,63,3,22:56.2,70,70
594,70,inactive,closed,inactive,inactive,72.9,63,3,25:25.4,70,70
595,70,inactive,closed,inactive,inactive,72.9,63,3,25:25.4,70,70
596,70,inactive,closed,inactive,inactive,72.9,62,3,25:25.5,70,70
597,70,inactive,closed,inactive,inactive,72.9,62,3,25:25.5,70,70
598,70,inactive,closed,active,inactive,72.9,62,3,30:42.0,70,70
599,70,inactive,closed,active,inactive,72.9,62,3,30:42.0,70,70
600,70,inactive,closed,active,active,72.9,62,3,30:46.0,70,70
601,70,inactive,closed,active,active,72.9,62,3,30:46.0,70,70
602,70,inactive,closed,inactive,active,72.9,62,3,31:05.5,70,70
603,70,inactive,closed,inactive,active,72.9,62,3,31:05.5,70,70
604,70,inactive,closed,inactive,inactive,72.9,62,3,31:23.5,70,70
605,70,inactive,closed,inactive,inactive,72.9,62,3,31:23.5,70,70
606,70,inactive,closed,active,inactive,72.9,62,3,33:01.4,70,70
607,70,inactive,closed,active,inactive,72.9,62,3,33:01.4,70,70
608,70,inactive,closed,active,active,72.9,62,3,33:01.9,70,70
609,70,inactive,closed,active,active,72.9,62,3,33:01.9,70,70
610,70,inactive,closed,active,active,72.9,62,3,33:02.2,70,70
611,70,inactive,closed,active,active,72.9,62,3,33:02.2,70,70
612,70,inactive,closed,inactive,active,72.9,62,3,33:15.5,70,70
613,70,inactive,closed,inactive,active,72.9,62,3,33:15.5,70,70
614,70,inactive,closed,inactive,active,72.9,63,3,33:30.8,70,70
615,70,inactive,closed,inactive,active,72.9,63,3,33:30.8,70,70
616,70,inactive,closed,inactive,inactive,72.9,63,3,33:46.1,70,70
617,70,inactive,closed,inactive,inactive,72.9,63,3,33:46.1,70,70
618,70,inactive,closed,active,inactive,72.9,63,3,36:24.1,70,70
619,70,inactive,closed,active,inactive,72.9,63,3,36:24.1,70,70
620,70,inactive,closed,active,active,72.9,63,3,36:28.8,70,70
621,70,inactive,closed,active,active,72.9,63,3,36:28.8,70,70
622,70,inactive,closed,active,active,72.9,63,3,36:29.2,70,70
623,70,inactive,closed,active,active,72.9,63,3,36:29.2,70,70
624,70,inactive,closed,inactive,active,72.9,63,3,36:41.0,70,70
625,70,inactive,closed,inactive,active,72.9,63,3,36:41.0,70,70
626,70,inactive,closed,active,active,72.9,63,3,36:45.3,70,70
627,70,inactive,closed,active,active,72.9,63,3,36:45.3,70,70
628,70,inactive,closed,inactive,active,72.9,63,3,37:58.7,70,70
629,70,inactive,closed,inactive,active,72.9,63,3,37:58.7,70,70
630,70,inactive,closed,inactive,inactive,72.9,63,3,38:14.3,70,70
631,70,inactive,closed,inactive,inactive,72.9,63,3,38:14.3,70,70
633,70,active,closed,inactive,inactive,72.9,63,3,38:23.4,70,70
634,70,active,closed,inactive,inactive,72.9,63,3,38:23.4,70,70
637,70,active,open,inactive,inactive,72.9,63,3,38:25.5,70,70
638,70,active,open,inactive,inactive,72.9,63,3,38:25.5,70,70
640,70,active,open,active,inactive,72.9,63,3,38:25.7,70,70
641,70,active,open,active,inactive,72.9,63,3,38:25.7,70,70
642,70,active,open,active,active,72.9,63,3,38:25.7,70,70
643,70,active,open,active,active,72.9,63,3,38:25.7,70,70
649,70,active,closed,active,active,72.9,63,3,38:30.7,70,70
650,70,active,closed,active,active,72.9,63,3,38:30.7,70,70
656,70,active,closed,inactive,active,72.9,63,3,38:42.0,70,70
657,70,active,closed,inactive,active,72.9,63,3,38:42.0,70,70
658,70,inactive,closed,inactive,active,72.9,63,3,38:43.4,70,70
659,70,inactive,closed,inactive,active,72.9,63,3,38:43.4,70,70
660,70,inactive,closed,inactive,inactive,72.9,63,3,38:56.6,70,70
661,70,inactive,closed,inactive,inactive,72.9,63,3,38:56.6,70,70
662,70,inactive,open,inactive,inactive,72.9,63,3,39:11.4,70,70
663,70,inactive,open,inactive,inactive,72.9,63,3,39:11.4,70,70
666,70,active,open,inactive,inactive,72.9,63,3,39:11.6,70,70
667,70,active,open,inactive,inactive,72.9,63,3,39:11.6,70,70
668,70,active,open,active,inactive,72.9,63,3,39:12.1,70,70
669,70,active,open,active,inactive,72.9,63,3,39:12.1,70,70
673,70,active,closed,active,inactive,72.9,63,3,39:15.5,70,70
674,70,active,closed,active,inactive,72.9,63,3,39:15.5,70,70
678,70,active,closed,active,active,72.9,63,3,39:16.7,70,70
679,70,active,closed,active,active,72.9,63,3,39:16.7,70,70
683,70,inactive,closed,active,active,72.9,63,3,39:21.6,70,70
684,70,inactive,closed,active,active,72.9,63,3,39:21.6,70,70
685,70,inactive,closed,inactive,active,72.9,63,3,39:27.3,70,70
686,70,inactive,closed,inactive,active,72.9,63,3,39:27.3,70,70
687,70,inactive,closed,inactive,inactive,72.9,63,3,39:43.4,70,70
688,70,inactive,closed,inactive,inactive,72.9,63,3,39:43.4,70,70
689,70,inactive,closed,active,inactive,72.9,63,3,40:08.3,70,70
690,70,inactive,closed,active,inactive,72.9,63,3,40:08.3,70,70
691,70,inactive,closed,inactive,inactive,72.9,63,3,40:18.8,70,70
692,70,inactive,closed,inactive,inactive,72.9,63,3,40:18.8,70,70
693,70,inactive,closed,active,inactive,72.9,63,3,40:40.3,70,70
694,70,inactive,closed,active,inactive,72.9,63,3,40:40.3,70,70
695,70,inactive,closed,active,active,72.9,63,3,40:40.9,70,70
696,70,inactive,closed,active,active,72.9,63,3,40:40.9,70,70
697,70,inactive,closed,inactive,active,72.9,63,3,41:03.5,70,70
698,70,inactive,closed,inactive,active,72.9,63,3,41:03.5,70,70
699,70,inactive,closed,active,active,72.9,63,3,41:11.3,70,70
700,70,inactive,closed,active,active,72.9,63,3,41:11.3,70,70
701,70,inactive,closed,inactive,active,72.9,63,3,41:23.8,70,70
702,70,inactive,closed,inactive,active,72.9,63,3,41:23.8,70,70
703,70,inactive,closed,inactive,active,72.8,63,3,41:27.2,70,70
704,70,inactive,closed,inactive,active,72.8,63,3,41:27.2,70,70
705,70,inactive,closed,inactive,active,72.8,63,4,41:32.7,70,70
706,70,inactive,closed,inactive,active,72.8,63,4,41:32.7,70,70
707,70,inactive,closed,active,active,72.8,63,4,41:35.6,70,70
708,70,inactive,closed,active,active,72.8,63,4,41:35.6,70,70
709,70,inactive,closed,active,inactive,72.8,63,4,41:42.3,70,70
710,70,inactive,closed,active,inactive,72.8,63,4,41:42.3,70,70
711,70,inactive,closed,active,active,72.8,63,4,41:49.5,70,70
712,70,inactive,closed,active,active,72.8,63,4,41:49.5,70,70
713,70,inactive,closed,inactive,active,72.8,63,4,41:59.5,70,70
714,70,inactive,closed,inactive,active,72.8,63,4,41:59.5,70,70
715,70,inactive,closed,active,active,72.8,63,4,42:18.5,70,70
716,70,inactive,closed,active,active,72.8,63,4,42:18.5,70,70
717,70,inactive,open,active,active,72.8,63,4,42:28.4,70,70
718,70,inactive,open,active,active,72.8,63,4,42:28.4,70,70
721,70,active,open,active,active,72.8,63,4,42:39.7,70,70
722,70,active,open,active,active,72.8,63,4,42:39.7,70,70
723,70,active,closed,active,active,72.8,63,4,42:39.8,70,70
724,70,active,closed,active,active,72.8,63,4,42:39.8,70,70
727,70,active,closed,inactive,active,72.8,63,4,42:40.9,70,70
728,70,active,closed,inactive,active,72.8,63,4,42:40.9,70,70
730,70,active,open,inactive,active,72.8,63,4,42:42.2,70,70
731,70,active,open,inactive,active,72.8,63,4,42:42.2,70,70
737,70,active,closed,inactive,active,72.8,63,4,42:46.2,70,70
738,70,active,closed,inactive,active,72.8,63,4,42:46.2,70,70
743,70,inactive,closed,inactive,active,72.8,63,4,42:49.7,70,70
744,70,inactive,closed,inactive,active,72.8,63,4,42:49.7,70,70
746,70,inactive,closed,inactive,inactive,72.8,63,4,43:03.8,70,70
747,70,inactive,closed,inactive,inactive,72.8,63,4,43:03.8,70,70
748,70,inactive,closed,active,inactive,72.8,63,4,46:09.9,70,70
749,70,inactive,closed,active,inactive,72.8,63,4,46:09.9,70,70
750,70,inactive,closed,active,active,72.8,63,4,46:10.9,70,70
751,70,inactive,closed,active,active,72.8,63,4,46:10.9,70,70
752,70,inactive,closed,inactive,active,72.8,63,4,46:30.7,70,70
753,70,inactive,closed,inactive,active,72.8,63,4,46:30.7,70,70
754,70,inactive,closed,inactive,inactive,72.8,63,4,46:47.5,70,70
755,70,inactive,closed,inactive,inactive,72.8,63,4,46:47.5,70,70
756,70,inactive,open,inactive,inactive,72.8,63,4,48:55.0,70,70
757,70,inactive,open,inactive,inactive,72.8,63,4,48:55.0,70,70
760,70,active,open,inactive,inactive,72.8,63,4,48:58.8,70,70
761,70,active,open,inactive,inactive,72.8,63,4,48:58.8,70,70
762,70,active,closed,inactive,inactive,72.8,63,4,48:59.2,70,70
763,70,active,closed,inactive,inactive,72.8,63,4,48:59.2,70,70
766,70,active,closed,active,inactive,72.8,63,4,49:00.3,70,70
767,70,active,closed,active,inactive,72.8,63,4,49:00.3,70,70
771,70,active,open,active,inactive,72.8,63,4,49:05.8,70,70
772,70,active,open,active,inactive,72.8,63,4,49:05.8,70,70
779,70,active,closed,active,inactive,72.8,63,4,49:10.1,70,70
780,70,active,closed,active,inactive,72.8,63,4,49:10.1,70,70
785,70,inactive,closed,active,inactive,72.8,63,4,49:18.9,70,70
786,70,inactive,closed,active,inactive,72.8,63,4,49:18.9,70,70
787,70,inactive,closed,active,inactive,72.6,63,4,49:28.2,70,70
788,70,inactive,closed,active,inactive,72.6,63,4,49:28.2,70,70
789,70,inactive,closed,inactive,inactive,72.6,63,4,49:28.4,70,70
790,70,inactive,closed,inactive,inactive,72.6,63,4,49:28.4,70,70
791,70,inactive,closed,inactive,inactive,72.6,63,5,49:33.7,70,70
792,70,inactive,closed,inactive,inactive,72.6,63,5,49:33.7,70,70
793,70,inactive,closed,inactive,active,72.6,63,5,49:44.9,70,70
794,70,inactive,closed,inactive,active,72.6,63,5,49:44.9,70,70
795,70,inactive,closed,active,active,72.6,63,5,49:51.0,70,70
796,70,inactive,closed,active,active,72.6,63,5,49:51.0,70,70
799,70,inactive,closed,active,active,72.6,65,5,50:40.6,70,70
800,70,inactive,closed,active,active,72.6,65,5,50:40.6,70,70
804,70,active,closed,active,active,72.6,65,5,51:01.9,70,70
805,70,active,closed,active,active,72.6,65,5,51:01.9,70,70
806,70,active,open,active,active,72.6,65,5,51:02.7,70,70
807,70,active,open,active,active,72.6,65,5,51:02.7,70,70
