,Time,DayOfWeek,Motion,Acceleration,Temperature,time_transformed,label
50063,12:00:28.883,3,inactive,inactive,70,43228.883,0
50064,12:00:47.481,3,inactive,inactive,70,43247.481,0
50065,12:00:53.364,3,inactive,inactive,75,43253.364,0
50066,12:00:57.479,3,inactive,inactive,72,43257.479,0
50067,12:00:57.879,3,inactive,active,75,43257.879,0
50068,12:01:8.133,3,inactive,inactive,73,43268.133,0
50069,12:01:8.63,3,inactive,inactive,70,43268.63,0
7340,12:02:32.084,3,active,active,76,43352.084,1
7341,12:03:2.698,3,active,active,83,43382.698,1
7342,12:03:13.94,3,active,active,83,43393.94,1
7343,12:03:23.274,3,active,active,79,43403.274,1
7344,12:03:48.33,3,active,active,81,43428.33,1
7345,12:04:14.106,3,active,active,81,43454.106,1
7346,12:04:40.804,3,active,active,80,43480.804,1
7347,12:04:52.864,3,inactive,inactive,84,43492.864,1
7348,12:05:18.031,3,active,active,83,43518.031,1
7349,12:05:28.842,3,active,active,79,43528.842,1
7350,12:06:14.766,3,active,active,80,43574.766,1
50128,12:06:36.409,3,inactive,inactive,68,43596.409,0
50129,12:06:40.199,3,inactive,inactive,68,43600.199,0
50130,12:06:40.446,3,inactive,inactive,65,43600.446,0
50131,12:06:41.358,3,inactive,inactive,72,43601.358,0
50132,12:06:53.704,3,inactive,inactive,68,43613.704,0
50133,12:06:54.297,3,inactive,inactive,70,43614.297,0
50134,12:07:2.526,3,inactive,inactive,73,43622.526,0
50135,12:07:5.177,3,inactive,inactive,73,43625.177,0
50136,12:07:5.488,3,inactive,active,74,43625.488,0
50137,12:07:14.004,3,inactive,inactive,68,43634.004,0
50138,12:07:16.91,3,inactive,inactive,71,43636.91,0
50139,12:07:28.596,3,inactive,inactive,74,43648.596,0
50140,12:07:28.658,3,inactive,inactive,75,43648.658,0
50141,12:07:46.317,3,inactive,inactive,72,43666.317,0
50142,12:08:0.134,3,inactive,inactive,70,43680.134,0
50143,12:08:4.365,3,inactive,inactive,76,43684.365,0
50144,12:08:4.988,3,inactive,inactive,69,43684.988,0
50145,12:08:15.057,3,inactive,inactive,69,43695.057,0
50146,12:08:16.999,3,inactive,inactive,70,43696.999,0
50147,12:08:17.074,3,inactive,inactive,71,43697.074,0
50148,12:08:17.572,3,inactive,active,73,43697.572,0
50149,12:08:26.464,3,inactive,inactive,78,43706.464,0
50150,12:08:33.83,3,inactive,inactive,77,43713.83,0
50151,12:08:38.652,3,inactive,inactive,71,43718.652,0
50152,12:09:0.882,3,inactive,inactive,77,43740.882,0
50153,12:09:7.243,3,inactive,active,76,43747.243,0
50154,12:09:8.636,3,inactive,inactive,74,43748.636,0
50155,12:09:8.674,3,inactive,inactive,73,43748.674,0
50156,12:09:14.359,3,inactive,inactive,75,43754.359,0
50157,12:09:20.497,3,inactive,inactive,65,43760.497,0
50158,12:09:32.882,3,inactive,inactive,72,43772.882,0
50159,12:09:38.48,3,inactive,inactive,75,43778.48,0
50160,12:09:41.327,3,inactive,inactive,74,43781.327,0
50161,12:09:43.721,3,inactive,inactive,69,43783.721,0
50162,12:09:46.544,3,inactive,inactive,74,43786.544,0
50163,12:09:48.406,3,inactive,inactive,77,43788.406,0
50164,12:09:48.938,3,inactive,inactive,72,43788.938,0
50165,12:09:54.288,3,inactive,inactive,68,43794.288,0
50166,12:09:58.213,3,inactive,inactive,76,43798.213,0
50167,12:10:14.254,3,inactive,inactive,73,43814.254,0
50168,12:10:22.634,3,inactive,inactive,74,43822.634,0
50169,12:10:23.996,3,inactive,inactive,71,43823.996,0
50170,12:10:25.766,3,inactive,inactive,75,43825.766,0
50171,12:10:34.337,3,inactive,inactive,75,43834.337,0
50172,12:10:37.256,3,inactive,inactive,78,43837.256,0
50173,12:10:41.843,3,inactive,inactive,74,43841.843,0
50174,12:10:53.429,3,inactive,active,74,43853.429,0
50175,12:11:4.664,3,inactive,inactive,72,43864.664,0
50176,12:11:9.718,3,inactive,inactive,72,43869.718,0
50177,12:11:18.443,3,inactive,inactive,74,43878.443,0
50178,12:11:18.453,3,inactive,inactive,73,43878.453,0
50179,12:11:18.983,3,inactive,active,78,43878.983,0
50180,12:11:22.297,3,inactive,inactive,72,43882.297,0
50181,12:11:29.664,3,inactive,inactive,74,43889.664,0
50182,12:11:38.196,3,inactive,inactive,73,43898.196,0
50183,12:11:41.073,3,inactive,inactive,74,43901.073,0
50184,12:11:44.459,3,inactive,inactive,76,43904.459,0
50185,12:11:50.673,3,inactive,active,73,43910.673,0
7361,12:11:59.637,3,active,active,86,43919.637,1
7362,12:12:30.045,3,active,active,84,43950.045,1
7363,12:12:35.929,3,active,active,80,43955.929,1
7364,12:13:25.68,3,active,active,77,44005.68,1
7365,12:13:28.081,3,active,active,81,44008.081,1
7366,12:14:25.868,3,active,active,83,44065.868,1
7367,12:14:30.784,3,active,active,85,44070.784,1
7368,12:15:16.453,3,active,active,83,44116.453,1
50215,12:15:17.584,3,inactive,inactive,77,44117.584,0
50216,12:15:25.14,3,inactive,inactive,72,44125.14,0
50217,12:15:31.39,3,inactive,inactive,71,44131.39,0
50218,12:15:31.967,3,inactive,inactive,72,44131.967,0
50219,12:15:34.446,3,inactive,inactive,75,44134.446,0
50220,12:15:44.91,3,inactive,inactive,75,44144.91,0
50221,12:15:47.322,3,inactive,inactive,74,44147.322,0
50222,12:15:49.967,3,inactive,inactive,73,44149.967,0
50223,12:15:53.716,3,inactive,inactive,74,44153.716,0
50224,12:15:54.087,3,inactive,inactive,69,44154.087,0
50225,12:15:59.423,3,inactive,inactive,70,44159.423,0
50226,12:16:7.928,3,inactive,inactive,70,44167.928,0
50227,12:16:16.944,3,inactive,inactive,72,44176.944,0
50228,12:16:28.972,3,inactive,inactive,73,44188.972,0
50229,12:16:41.969,3,inactive,inactive,77,44201.969,0
50230,12:16:45.393,3,inactive,active,74,44205.393,0
50231,12:16:46.694,3,inactive,inactive,74,44206.694,0
50232,12:16:49.734,3,inactive,inactive,73,44209.734,0
50233,12:17:6.128,3,inactive,inactive,80,44226.128,0
50234,12:17:14.534,3,inactive,inactive,70,44234.534,0
50235,12:17:19.662,3,inactive,inactive,72,44239.662,0
50236,12:17:20.871,3,inactive,active,75,44240.871,0
50237,12:17:28.92,3,inactive,inactive,74,44248.92,0
50238,12:17:33.788,3,inactive,inactive,75,44253.788,0
50239,12:17:33.869,3,inactive,inactive,74,44253.869,0
50240,12:17:35.436,3,inactive,inactive,69,44255.436,0
50241,12:17:57.157,3,inactive,inactive,73,44277.157,0
50242,12:18:6.503,3,inactive,inactive,71,44286.503,0
50243,12:18:29.532,3,inactive,inactive,69,44309.532,0
7372,12:18:53.815,3,active,active,79,44333.815,1
7373,12:18:54.629,3,active,active,82,44334.629,1
7374,12:18:59.867,3,inactive,active,75,44339.867,1
7375,12:20:30.807,3,inactive,active,81,44430.807,1
7376,12:21:26.19,3,active,active,75,44486.19,1
7377,12:21:35.321,3,active,active,82,44495.321,1
7378,12:21:38.152,3,active,active,81,44498.152,1
7379,12:22:7.136,3,active,active,82,44527.136,1
7380,12:22:51.408,3,active,active,77,44571.408,1
7381,12:22:52.61,3,active,active,85,44572.61,1
50293,12:22:59.568,3,inactive,inactive,66,44579.568,0
50294,12:23:0.622,3,inactive,inactive,74,44580.622,0
50295,12:23:7.832,3,inactive,inactive,71,44587.832,0
50296,12:23:9.109,3,inactive,inactive,69,44589.109,0
50297,12:23:9.722,3,inactive,inactive,71,44589.722,0
50298,12:23:14.92,3,inactive,inactive,69,44594.92,0
50299,12:23:15.591,3,inactive,inactive,71,44595.591,0
50300,12:23:20.265,3,inactive,inactive,69,44600.265,0
50301,12:23:26.08,3,inactive,inactive,75,44606.08,0
50302,12:23:32.554,3,inactive,inactive,64,44612.554,0
50303,12:23:37.101,3,inactive,inactive,74,44617.101,0
50304,12:23:37.315,3,inactive,inactive,72,44617.315,0
50305,12:23:54.986,3,inactive,inactive,68,44634.986,0
50306,12:23:59.47,3,inactive,inactive,75,44639.47,0
50307,12:24:3.108,3,inactive,inactive,69,44643.108,0
50308,12:24:5.715,3,inactive,inactive,69,44645.715,0
50309,12:24:20.267,3,inactive,inactive,74,44660.267,0
50310,12:24:27.728,3,inactive,inactive,67,44667.728,0
50311,12:24:30.542,3,inactive,inactive,73,44670.542,0
50312,12:24:34.125,3,inactive,inactive,73,44674.125,0
50313,12:24:44.354,3,inactive,inactive,74,44684.354,0
50314,12:24:45.346,3,inactive,active,70,44685.346,0
50315,12:24:50.36,3,inactive,inactive,73,44690.36,0
50316,12:24:52.454,3,inactive,inactive,71,44692.454,0
50317,12:24:54.726,3,inactive,inactive,69,44694.726,0
50318,12:24:59.166,3,inactive,inactive,72,44699.166,0
50319,12:25:1.09,3,inactive,inactive,73,44701.09,0
50320,12:25:5.944,3,inactive,active,77,44705.944,0
50321,12:25:17.489,3,inactive,inactive,73,44717.489,0
50322,12:25:22.994,3,inactive,inactive,72,44722.994,0
50323,12:25:25.935,3,inactive,active,75,44725.935,0
50324,12:25:28.942,3,inactive,inactive,73,44728.942,0
50325,12:25:29.158,3,inactive,inactive,74,44729.158,0
50326,12:25:36.842,3,inactive,inactive,70,44736.842,0
50327,12:25:43.727,3,inactive,inactive,73,44743.727,0
50328,12:25:45.556,3,inactive,inactive,71,44745.556,0
50329,12:25:48.159,3,inactive,inactive,75,44748.159,0
50330,12:26:1.965,3,inactive,inactive,70,44761.965,0
50331,12:26:4.896,3,inactive,inactive,72,44764.896,0
50332,12:26:6.916,3,inactive,inactive,70,44766.916,0
50333,12:26:22.847,3,inactive,inactive,74,44782.847,0
50334,12:26:34.299,3,inactive,inactive,73,44794.299,0
50335,12:26:35.331,3,inactive,inactive,70,44795.331,0
50336,12:26:36.42,3,inactive,inactive,70,44796.42,0
50337,12:26:37.0,3,inactive,inactive,75,44797.0,0
50338,12:26:55.256,3,inactive,inactive,76,44815.256,0
50339,12:27:2.169,3,inactive,inactive,70,44822.169,0
50340,12:27:6.788,3,inactive,inactive,75,44826.788,0
50341,12:27:14.659,3,inactive,inactive,72,44834.659,0
7395,12:27:34.88,3,active,active,79,44854.88,1
7396,12:27:50.803,3,active,active,80,44870.803,1
7397,12:28:3.863,3,active,active,82,44883.863,1
7398,12:28:39.005,3,active,active,78,44919.005,1
7399,12:28:52.207,3,active,active,79,44932.207,1
7400,12:28:57.286,3,active,active,86,44937.286,1
7401,12:29:30.902,3,active,active,85,44970.902,1
50361,12:29:31.958,3,inactive,inactive,74,44971.958,0
50362,12:29:32.173,3,inactive,inactive,70,44972.173,0
50363,12:29:33.55,3,inactive,inactive,79,44973.55,0
50364,12:29:44.726,3,inactive,inactive,75,44984.726,0
50365,12:29:46.23,3,inactive,inactive,68,44986.23,0
50366,12:29:51.886,3,inactive,inactive,74,44991.886,0
50367,12:30:1.816,3,inactive,inactive,68,45001.816,0
50368,12:30:6.101,3,inactive,active,76,45006.101,0
50369,12:30:7.494,3,inactive,inactive,76,45007.494,0
50370,12:30:16.784,3,inactive,inactive,71,45016.784,0
50371,12:30:21.421,3,inactive,inactive,70,45021.421,0
50372,12:30:21.911,3,inactive,active,75,45021.911,0
50373,12:30:24.631,3,inactive,inactive,73,45024.631,0
50374,12:30:25.996,3,inactive,active,76,45025.996,0
50375,12:30:30.858,3,inactive,inactive,70,45030.858,0
50376,12:30:38.489,3,inactive,inactive,71,45038.489,0
50377,12:30:39.964,3,inactive,inactive,76,45039.964,0
50378,12:30:46.287,3,inactive,inactive,73,45046.287,0
50379,12:30:46.35,3,inactive,active,73,45046.35,0
7405,12:31:2.776,3,active,inactive,80,45062.776,1
7406,12:31:36.876,3,active,active,87,45096.876,1
7407,12:33:14.437,3,active,active,81,45194.437,1
7408,12:34:32.959,3,active,active,78,45272.959,1
7409,12:34:42.922,3,active,active,84,45282.922,1
50413,12:34:44.404,3,inactive,inactive,72,45284.404,0
50414,12:34:54.557,3,inactive,inactive,76,45294.557,0
50415,12:35:20.773,3,inactive,inactive,71,45320.773,0
50416,12:35:26.308,3,inactive,inactive,69,45326.308,0
50417,12:35:35.302,3,inactive,inactive,67,45335.302,0
50418,12:35:45.154,3,inactive,inactive,70,45345.154,0
50419,12:35:45.216,3,inactive,inactive,71,45345.216,0
50420,12:35:55.242,3,inactive,active,65,45355.242,0
50421,12:36:8.877,3,inactive,active,73,45368.877,0
50422,12:36:10.381,3,inactive,inactive,71,45370.381,0
50423,12:36:14.008,3,inactive,inactive,67,45374.008,0
50424,12:36:29.156,3,inactive,inactive,71,45389.156,0
50425,12:36:34.172,3,inactive,inactive,72,45394.172,0
50426,12:36:37.383,3,inactive,inactive,71,45397.383,0
50427,12:36:38.247,3,inactive,inactive,76,45398.247,0
50428,12:36:44.606,3,inactive,inactive,73,45404.606,0
50429,12:36:53.918,3,inactive,inactive,67,45413.918,0
50430,12:36:58.142,3,inactive,inactive,75,45418.142,0
50431,12:37:6.881,3,inactive,inactive,71,45426.881,0
50432,12:37:7.104,3,inactive,inactive,73,45427.104,0
50433,12:37:17.25,3,inactive,inactive,75,45437.25,0
50434,12:37:19.782,3,inactive,active,70,45439.782,0
50435,12:37:25.445,3,inactive,inactive,72,45445.445,0
50436,12:37:26.242,3,inactive,inactive,74,45446.242,0
50437,12:37:29.943,3,inactive,active,66,45449.943,0
50438,12:37:30.81,3,inactive,inactive,76,45450.81,0
50439,12:37:40.668,3,inactive,inactive,74,45460.668,0
50440,12:37:42.676,3,inactive,active,74,45462.676,0
50441,12:37:50.125,3,inactive,inactive,70,45470.125,0
50442,12:37:58.03,3,inactive,inactive,74,45478.03,0
50443,12:38:8.636,3,inactive,active,71,45488.636,0
50444,12:38:8.881,3,inactive,active,71,45488.881,0
50445,12:38:27.626,3,inactive,inactive,77,45507.626,0
7420,12:39:40.187,3,active,active,85,45580.187,1
7421,12:40:19.458,3,active,active,82,45619.458,1
7422,12:40:35.385,3,active,active,79,45635.385,1
7423,12:40:49.74,3,active,active,77,45649.74,1
7424,12:41:25.695,3,active,active,86,45685.695,1
7425,12:41:37.994,3,active,active,84,45697.994,1
7426,12:41:40.079,3,active,active,83,45700.079,1
7427,12:42:7.427,3,active,active,82,45727.427,1
50489,12:42:46.559,3,inactive,inactive,75,45766.559,0
50490,12:42:46.848,3,inactive,inactive,71,45766.848,0
50491,12:42:49.892,3,inactive,inactive,72,45769.892,0
50492,12:43:10.705,3,inactive,inactive,71,45790.705,0
50493,12:43:11.72,3,inactive,inactive,74,45791.72,0
50494,12:43:21.714,3,inactive,inactive,72,45801.714,0
50495,12:43:38.928,3,inactive,inactive,70,45818.928,0
50496,12:43:43.204,3,inactive,inactive,70,45823.204,0
50497,12:43:47.558,3,inactive,active,71,45827.558,0
50498,12:43:59.468,3,inactive,inactive,73,45839.468,0
50499,12:44:7.151,3,inactive,inactive,75,45847.151,0
50500,12:44:12.913,3,inactive,inactive,70,45852.913,0
50501,12:44:31.963,3,inactive,inactive,72,45871.963,0
50502,12:44:32.171,3,inactive,inactive,76,45872.171,0
50503,12:44:32.684,3,inactive,inactive,71,45872.684,0
50504,12:44:35.971,3,inactive,inactive,73,45875.971,0
50505,12:44:38.195,3,inactive,inactive,69,45878.195,0
50506,12:44:48.283,3,inactive,inactive,72,45888.283,0
50507,12:44:48.67,3,inactive,inactive,70,45888.67,0
50508,12:44:50.284,3,inactive,inactive,74,45890.284,0
50509,12:44:53.842,3,inactive,inactive,72,45893.842,0
50510,12:45:6.158,3,inactive,inactive,75,45906.158,0
50511,12:45:15.426,3,inactive,inactive,71,45915.426,0
50512,12:45:18.811,3,inactive,inactive,73,45918.811,0
50513,12:45:19.621,3,inactive,inactive,74,45919.621,0
50514,12:45:24.667,3,inactive,inactive,72,45924.667,0
50515,12:45:50.82,3,inactive,active,70,45950.82,0
50516,12:46:8.383,3,inactive,inactive,74,45968.383,0
50517,12:46:15.863,3,inactive,inactive,70,45975.863,0
50518,12:46:29.098,3,inactive,inactive,70,45989.098,0
50519,12:46:31.539,3,inactive,inactive,74,45991.539,0
50520,12:46:31.827,3,inactive,active,70,45991.827,0
50521,12:46:36.93,3,inactive,inactive,69,45996.93,0
50522,12:46:58.544,3,inactive,inactive,74,46018.544,0
50523,12:47:0.605,3,inactive,active,74,46020.605,0
50524,12:47:0.648,3,inactive,inactive,68,46020.648,0
50525,12:47:8.08,3,inactive,inactive,70,46028.08,0
50526,12:47:8.811,3,inactive,inactive,72,46028.811,0
50527,12:47:15.373,3,inactive,inactive,76,46035.373,0
50528,12:47:19.462,3,inactive,inactive,75,46039.462,0
50529,12:47:30.372,3,inactive,inactive,71,46050.372,0
50530,12:47:33.135,3,inactive,inactive,70,46053.135,0
50531,12:47:33.275,3,inactive,inactive,68,46053.275,0
7434,12:47:51.7,3,active,active,79,46071.7,1
7435,12:48:33.607,3,active,active,81,46113.607,1
7436,12:48:40.482,3,active,active,86,46120.482,1
7437,12:48:57.212,3,active,active,83,46137.212,1
50549,12:49:12.964,3,inactive,inactive,76,46152.964,0
50550,12:49:14.263,3,inactive,active,73,46154.263,0
50551,12:49:16.147,3,inactive,inactive,68,46156.147,0
50552,12:49:31.571,3,inactive,active,74,46171.571,0
50553,12:49:44.727,3,inactive,inactive,73,46184.727,0
50554,12:49:55.266,3,inactive,inactive,72,46195.266,0
50555,12:49:57.36,3,inactive,active,73,46197.36,0
50556,12:50:14.288,3,inactive,inactive,64,46214.288,0
50557,12:50:25.927,3,inactive,inactive,71,46225.927,0
50558,12:50:26.536,3,inactive,inactive,74,46226.536,0
50559,12:50:28.243,3,inactive,active,71,46228.243,0
50560,12:50:31.195,3,inactive,inactive,78,46231.195,0
50561,12:50:35.787,3,inactive,active,75,46235.787,0
50562,12:50:36.948,3,inactive,inactive,66,46236.948,0
50563,12:50:59.038,3,inactive,inactive,71,46259.038,0
50564,12:51:0.555,3,inactive,inactive,74,46260.555,0
50565,12:51:3.543,3,inactive,inactive,79,46263.543,0
7441,12:51:50.584,3,inactive,inactive,86,46310.584,1
7442,12:52:10.851,3,active,active,84,46330.851,1
7443,12:52:17.957,3,active,active,77,46337.957,1
7444,12:52:47.961,3,active,active,82,46367.961,1
7445,12:52:48.057,3,active,active,83,46368.057,1
7446,12:52:52.236,3,active,active,77,46372.236,1
7447,12:53:28.25,3,active,active,83,46408.25,1
7448,12:54:44.031,3,active,active,79,46484.031,1
7449,12:54:45.753,3,active,active,79,46485.753,1
7450,12:55:4.743,3,active,active,81,46504.743,1
7451,12:55:5.761,3,active,active,80,46505.761,1
50599,12:55:13.658,3,inactive,inactive,73,46513.658,0
50600,12:55:33.813,3,inactive,inactive,77,46533.813,0
50601,12:55:35.352,3,inactive,inactive,75,46535.352,0
50602,12:55:53.75,3,inactive,inactive,68,46553.75,0
50603,12:56:1.344,3,inactive,inactive,71,46561.344,0
50604,12:56:4.096,3,inactive,inactive,82,46564.096,0
50605,12:56:15.5,3,inactive,active,78,46575.5,0
50606,12:56:25.931,3,inactive,inactive,70,46585.931,0
50607,12:56:52.51,3,inactive,inactive,73,46612.51,0
50608,12:56:52.65,3,inactive,inactive,76,46612.65,0
50609,12:57:5.02,3,inactive,inactive,72,46625.02,0
50610,12:57:16.897,3,inactive,inactive,76,46636.897,0
50611,12:57:19.871,3,inactive,inactive,73,46639.871,0
50612,12:57:25.193,3,inactive,inactive,73,46645.193,0
50613,12:57:29.857,3,inactive,inactive,67,46649.857,0
50614,12:57:45.659,3,inactive,inactive,76,46665.659,0
50615,12:57:53.473,3,inactive,inactive,76,46673.473,0
50616,12:57:56.532,3,inactive,inactive,75,46676.532,0
50617,12:58:6.803,3,inactive,inactive,74,46686.803,0
50618,12:58:7.041,3,inactive,inactive,71,46687.041,0
50619,12:58:13.619,3,inactive,inactive,72,46693.619,0
50620,12:58:14.643,3,inactive,inactive,73,46694.643,0
50621,12:58:17.246,3,inactive,inactive,73,46697.246,0
50622,12:58:21.197,3,inactive,inactive,68,46701.197,0
50623,12:58:28.771,3,inactive,inactive,66,46708.771,0
50624,12:58:34.197,3,inactive,inactive,75,46714.197,0
50625,12:58:35.248,3,inactive,active,67,46715.248,0
50626,12:58:44.308,3,inactive,inactive,70,46724.308,0
50627,12:58:48.561,3,inactive,inactive,77,46728.561,0
50628,12:59:1.695,3,inactive,inactive,76,46741.695,0
50629,12:59:9.289,3,inactive,inactive,73,46749.289,0
50630,12:59:13.092,3,inactive,inactive,72,46753.092,0
50631,12:59:15.917,3,inactive,inactive,78,46755.917,0
7458,13:00:9.119,3,active,active,78,46809.119,1
7459,13:00:14.686,3,active,active,81,46814.686,1
7460,13:00:25.369,3,active,active,80,46825.369,1
7461,13:00:55.733,3,active,active,84,46855.733,1
7462,13:01:39.27,3,active,active,75,46899.27,1
7463,13:02:21.329,3,active,active,81,46941.329,1
50665,13:02:28.804,3,inactive,inactive,74,46948.804,0
50666,13:02:29.012,3,inactive,inactive,71,46949.012,0
50667,13:02:37.276,3,inactive,inactive,71,46957.276,0
50668,13:02:49.958,3,inactive,inactive,70,46969.958,0
50669,13:02:57.218,3,inactive,inactive,69,46977.218,0
50670,13:03:9.172,3,inactive,inactive,69,46989.172,0
50671,13:03:12.677,3,inactive,inactive,80,46992.677,0
50672,13:03:12.797,3,inactive,inactive,72,46992.797,0
50673,13:03:15.487,3,inactive,inactive,68,46995.487,0
50674,13:03:19.318,3,inactive,inactive,70,46999.318,0
50675,13:03:28.918,3,inactive,inactive,73,47008.918,0
50676,13:03:38.003,3,inactive,inactive,74,47018.003,0
50677,13:03:49.911,3,inactive,inactive,73,47029.911,0
50678,13:03:52.855,3,inactive,inactive,72,47032.855,0
50679,13:03:55.47,3,inactive,inactive,69,47035.47,0
50680,13:03:58.764,3,inactive,inactive,71,47038.764,0
50681,13:04:11.397,3,inactive,inactive,76,47051.397,0
50682,13:04:18.192,3,inactive,inactive,71,47058.192,0
50683,13:04:20.354,3,inactive,inactive,76,47060.354,0
50684,13:04:21.298,3,inactive,inactive,75,47061.298,0
50685,13:04:23.543,3,inactive,inactive,76,47063.543,0
50686,13:04:35.498,3,inactive,inactive,68,47075.498,0
50687,13:04:38.596,3,inactive,inactive,75,47078.596,0
50688,13:04:38.88,3,inactive,inactive,73,47078.88,0
50689,13:04:54.293,3,inactive,inactive,74,47094.293,0
50690,13:04:56.958,3,inactive,inactive,77,47096.958,0
50691,13:04:57.405,3,inactive,inactive,71,47097.405,0
50692,13:04:58.505,3,inactive,inactive,75,47098.505,0
50693,13:05:5.545,3,inactive,inactive,76,47105.545,0
50694,13:05:9.464,3,inactive,inactive,70,47109.464,0
50695,13:05:11.931,3,inactive,inactive,74,47111.931,0
50696,13:05:20.442,3,inactive,inactive,73,47120.442,0
50697,13:05:22.612,3,inactive,inactive,77,47122.612,0
7470,13:06:35.737,3,active,active,80,47195.737,1
7471,13:08:7.913,3,active,active,81,47287.913,1
7472,13:08:21.92,3,active,active,78,47301.92,1
7473,13:08:26.713,3,active,active,84,47306.713,1
7474,13:08:33.958,3,active,active,76,47313.958,1
7475,13:09:6.167,3,active,active,83,47346.167,1
7476,13:09:11.136,3,active,active,83,47351.136,1
50731,13:09:27.405,3,inactive,inactive,74,47367.405,0
50732,13:09:30.424,3,inactive,inactive,68,47370.424,0
50733,13:09:45.979,3,inactive,inactive,72,47385.979,0
50734,13:09:57.731,3,inactive,active,69,47397.731,0
50735,13:10:2.267,3,inactive,inactive,71,47402.267,0
50736,13:10:12.866,3,inactive,inactive,70,47412.866,0
50737,13:10:15.755,3,inactive,inactive,75,47415.755,0
50738,13:10:28.271,3,inactive,inactive,67,47428.271,0
50739,13:10:33.529,3,inactive,inactive,74,47433.529,0
50740,13:10:47.507,3,inactive,inactive,68,47447.507,0
50741,13:10:49.413,3,inactive,inactive,71,47449.413,0
50742,13:10:49.741,3,inactive,inactive,76,47449.741,0
50743,13:10:51.519,3,inactive,inactive,68,47451.519,0
50744,13:10:55.654,3,inactive,inactive,69,47455.654,0
50745,13:11:5.78,3,inactive,inactive,75,47465.78,0
50746,13:11:6.82,3,inactive,inactive,77,47466.82,0
50747,13:11:12.996,3,inactive,inactive,65,47472.996,0
50748,13:11:15.831,3,inactive,inactive,70,47475.831,0
50749,13:11:18.991,3,inactive,inactive,67,47478.991,0
50750,13:11:33.744,3,inactive,inactive,69,47493.744,0
50751,13:11:38.684,3,inactive,active,72,47498.684,0
50752,13:11:41.211,3,inactive,inactive,72,47501.211,0
50753,13:11:57.058,3,inactive,inactive,69,47517.058,0
50754,13:12:8.122,3,inactive,inactive,74,47528.122,0
50755,13:12:20.039,3,inactive,inactive,72,47540.039,0
50756,13:12:33.84,3,inactive,active,73,47553.84,0
50757,13:12:48.224,3,inactive,inactive,74,47568.224,0
50758,13:12:59.177,3,inactive,inactive,71,47579.177,0
50759,13:13:5.243,3,inactive,inactive,75,47585.243,0
50760,13:13:17.083,3,inactive,inactive,77,47597.083,0
50761,13:13:46.874,3,inactive,inactive,68,47626.874,0
50762,13:13:50.622,3,inactive,inactive,70,47630.622,0
50763,13:13:56.977,3,inactive,inactive,74,47636.977,0
7486,13:14:7.011,3,inactive,inactive,83,47647.011,1
50770,13:14:46.764,3,inactive,active,76,47686.764,0
50771,13:14:52.648,3,inactive,inactive,69,47692.648,0
50772,13:14:54.522,3,inactive,inactive,67,47694.522,0
50773,13:14:58.971,3,inactive,inactive,68,47698.971,0
50774,13:15:0.806,3,inactive,inactive,74,47700.806,0
50775,13:15:1.222,3,inactive,inactive,73,47701.222,0
7487,13:15:31.339,3,active,active,81,47731.339,1
7488,13:15:49.928,3,active,active,80,47749.928,1
7489,13:16:18.509,3,active,active,78,47778.509,1
7490,13:16:22.977,3,active,active,78,47782.977,1
7491,13:17:7.568,3,active,active,81,47827.568,1
