,Time,DayOfWeek,Motion,Acceleration,Temperature
688,30:56.3,1,inactive,inactive,66
689,23:46.4,1,active,inactive,63
690,31:49.5,4,inactive,active,64
691,20:46.8,0,inactive,inactive,70
692,03:15.1,1,inactive,inactive,71
693,51:40.9,4,inactive,inactive,68
694,49:48.1,2,inactive,inactive,71
695,20:20.6,2,inactive,inactive,62
696,21:40.4,0,inactive,inactive,67
697,0:54:59,4,inactive,inactive,65
698,35:12.7,1,inactive,inactive,70
699,0:13:47,4,active,inactive,66
700,35:24.2,0,inactive,inactive,65
701,19:49.6,4,inactive,inactive,67
702,51:38.9,3,inactive,inactive,62
703,56:52.9,1,inactive,inactive,69
704,42:56.9,4,active,active,67
705,40:45.8,1,inactive,active,67
706,32:39.4,0,inactive,inactive,67
707,38:13.3,1,active,inactive,63
708,57:35.4,3,inactive,inactive,62
709,05:56.6,1,active,inactive,68
710,01:19.2,3,inactive,inactive,69
711,05:51.2,0,inactive,inactive,69
712,34:42.6,0,inactive,inactive,69
713,09:48.6,5,inactive,inactive,69
714,13:14.4,2,inactive,inactive,67
715,28:16.9,2,inactive,active,63
716,03:44.7,3,inactive,inactive,68
717,28:53.7,4,inactive,inactive,66
718,45:23.6,1,inactive,inactive,68
719,38:06.6,1,inactive,inactive,67
720,37:39.1,2,inactive,inactive,62
721,46:03.2,1,active,active,70
722,0:47:04,6,active,active,65
723,51:14.7,3,inactive,active,71
724,16:19.3,0,inactive,inactive,69
725,51:53.6,1,inactive,inactive,62
